        SCF,CCSD
   -103.76575881,   -104.37689204
   -103.76204927,   -104.36665567
   -103.66862059,   -104.30236831
   -103.50906648,   -104.05132342
   -103.47997424,   -104.03865139
   -103.76797854,   -104.43462925
   -102.90617332,   -103.40462316
   -101.89475230,   -102.34201897
   -100.44422485,   -100.83354930
    -98.28802012,    -98.65357717
    -95.61716332,    -95.95366533
    -92.36577455,    -92.67604955
    -88.51015292,    -88.79584382
    -86.62645351,    -86.98514850
    -84.07493843,    -84.33044519
    -28.73475739,    -28.78598325

