        SCF,CCSD
   -103.92241006,   -104.55020610
   -103.90398324,   -104.52601022
   -103.79792971,   -104.45209414
   -103.66200319,   -104.21930611
   -103.61530429,   -104.19056935
   -103.91248695,   -104.59934216
   -103.05212522,   -103.56484315
   -102.05516196,   -102.51462570
   -100.62143949,   -101.02086807
    -98.48780844,    -98.86172554
    -95.83976957,    -96.18283347
    -92.61057317,    -92.92560404
    -88.77496620,    -89.06362677
    -86.95960436,    -87.31190966
    -84.35554662,    -84.61211284
    -28.81110899,    -28.86110759
