        SCF,CCSD
   -103.76683166,   -104.37588764
   -103.76305056,   -104.36566677
   -103.66951176,   -104.30133200
   -103.51007089,   -104.05048281
   -103.48082461,   -104.03768863
   -103.76904316,   -104.43357702
   -102.90706964,   -103.40387744
   -101.89576246,   -102.34157506
   -100.44537598,   -100.83341340
    -98.28932343,    -98.65381323
    -95.61854868,    -95.95418477
    -92.36713255,    -92.67672884
    -88.51132734,    -88.79650483
    -86.62792192,    -86.98486680
    -84.07572926,    -84.33085563
    -28.73559649,    -28.78598857
