                                                  
        SCF,CCSD
   -103.61478332,   -104.24298628
   -103.61015078,   -104.23257750
   -103.51606881,   -104.16788827
   -103.35869766,   -103.91819776
   -103.32872123,   -103.90518864
   -103.61611358,   -104.30037829
   -102.75741609,   -103.27302278
   -101.74953699,   -102.21311538
   -100.30324923,   -100.70767944
    -98.15269737,    -98.53222985
    -95.48757253,    -95.83639991
    -92.24171796,    -92.56245861
    -88.39100139,    -88.68513985
    -86.60935501,    -86.97529340
    -83.95955395,    -84.22080143
    -28.67942704,    -28.73037605

