                                                  

       SCF,CCSD
   -67.24834811,   -67.73067692
   -67.33822868,   -67.78686031
   -67.23336939,   -67.66863481
   -67.31266759,   -67.81201520
   -67.05198097,   -67.47153241
   -67.10928743,   -67.52592572
   -66.88889098,   -67.35090170
   -66.55067967,   -66.93775014
   -65.59235465,   -65.94817190
   -64.15683855,   -64.48581799
   -62.20476623,   -62.50974230
   -61.39601831,   -61.70089087
   -59.74277698,   -60.01772185
   -43.91007881,   -44.05224410
   -21.02038618,   -21.08861381
                                                  
