                                                  

       SCF,CCSD
   -67.03349657,   -67.51150609
   -67.12972309,   -67.57872931
   -67.02654801,   -67.46169772
   -67.10465882,   -67.60257910
   -66.83801902,   -67.25872132
   -66.90410653,   -67.32150480
   -66.66584460,   -67.13252904
   -66.34011686,   -66.72847218
   -65.37426952,   -65.73174936
   -63.92922911,   -64.26022791
   -61.96588732,   -62.27324643
   -61.14024969,   -61.44805234
   -59.49122679,   -59.76877759
   -43.73101997,   -43.87431834
   -20.94435143,   -21.01207931
                                                  
