       SCF,CCSD
   -66.93696689,   -67.40579378
   -66.84366083,   -67.33950318
   -66.83081829,   -67.28511867
   -66.91172090,   -67.42941785
   -66.64689995,   -67.08684129
   -66.70938504,   -67.14613509
   -66.47864500,   -66.96105788
   -66.14556233,   -66.55252232
   -65.17882615,   -65.55371493
   -63.73126964,   -64.07819419
   -61.76274462,   -62.08432185
   -60.93195357,   -61.25337431
   -59.27876239,   -59.56810381
   -43.66019287,   -43.80735255
   -21.00116018,   -21.06638292
                                                  
