                                                  

       SCF,CCSD
   -66.84366083,   -67.33402183
   -66.93696689,   -67.40579373
   -66.83081829,   -67.28511883
   -66.91172090,   -67.42941856
   -66.64689995,   -67.08684134
   -66.70938504,   -67.14613547
   -66.47864500,   -66.96106012
   -66.14556233,   -66.55252241
   -65.17882615,   -65.55371483
   -63.73126964,   -64.07819409
   -61.76274462,   -62.08432188
   -60.93195357,   -61.25337433
   -59.27876239,   -59.56810382
   -43.66019287,   -43.80735240
   -21.00116018,   -21.06638297
                                                  
