                                                  

         SCF,CCSD
   -4046.255718,   -4046.695982
   -4046.168645,   -4046.641012
   -4046.149097,   -4046.575853
   -4046.230449,   -4046.720745
   -4045.971325,   -4046.380127
   -4046.026423,   -4046.435413
   -4045.809125,   -4046.257774
   -4045.469355,   -4045.846376
   -4044.509683,   -4044.853093
   -4043.069630,   -4043.383707
   -4041.108065,   -4041.395725
   -4040.277936,   -4040.562878
   -4038.627291,   -4038.883182
   -4022.816150,   -4022.943706
   -3999.937514,   -3999.994232
                                                  
