                                                  

       SCF,CCSD
   -67.46794251,   -67.93342650
   -67.38032833,   -67.87762142
   -67.36197313,   -67.81381047
   -67.44258636,   -67.95823364
   -67.18336921,   -67.61926893
   -67.23899238,   -67.67256450
   -67.02089673,   -67.49669178
   -66.68160356,   -67.08507715
   -65.72180946,   -66.09315098
   -64.28059136,   -64.62399624
   -62.31676843,   -62.63487671
   -61.48892626,   -61.80564637
   -59.83509476,   -60.12103953
   -44.01847455,   -44.16481848
   -21.14109143,   -21.20697030
                                                  
