z,CRENBL,LANL2,MDFSTU,UC,MWBSTU,ccECP,AE
1.200000,0.305009,0.309525,0.309457,0.310062,0.300677,0.306344,0.306313
1.300000,0.072245,0.076602,0.074974,0.074884,0.068175,0.072401,0.071583
1.400000,-0.067448,-0.063047,-0.065904,-0.066217,-0.071154,-0.068031,-0.069082
1.500000,-0.145287,-0.140946,-0.144515,-0.144972,-0.148547,-0.146251,-0.147375
1.600000,-0.181689,-0.177537,-0.181421,-0.182004,-0.184497,-0.182832,-0.183955
1.700000,-0.191158,-0.187276,-0.191218,-0.191909,-0.193541,-0.192372,-0.193465
1.800000,-0.184068,-0.180495,-0.184334,-0.185114,-0.186066,-0.185289,-0.186355
1.900000,-0.167703,-0.164455,-0.168090,-0.168940,-0.169357,-0.168891,-0.169918
2.000000,-0.147053,-0.144147,-0.147499,-0.148396,-0.148403,-0.148179,-0.149150
2.100000,-0.125558,-0.123044,-0.126000,-0.126986,-0.126639,-0.126575,-0.127431
