                                                  

       SCF,CCSD
   -67.39012627,   -67.87333572
   -67.48060936,   -67.93016863
   -67.37386340,   -67.80957994
   -67.45498683,   -67.95500338
   -67.19277722,   -67.61349816
   -67.25065428,   -67.66812633
   -67.02848282,   -67.49192208
   -66.68912703,   -67.07723396
   -65.72582241,   -66.08285878
   -64.28300482,   -64.61339706
   -62.32123610,   -62.62783601
   -61.50038714,   -61.80720636
   -59.84729006,   -60.12404632
   -44.02009826,   -44.16220669
   -21.13480676,   -21.20092629
                                                  
