                                                  

       SCF,CCSD
   -67.40484872,   -67.89757572
   -67.49336604,   -67.95365510
   -67.38576280,   -67.83228364
   -67.46769715,   -67.97860716
   -67.20732578,   -67.63830795
   -67.26270335,   -67.69110162
   -67.04522012,   -67.51703599
   -66.70329012,   -67.10189029
   -65.74246773,   -66.10915079
   -64.30217118,   -64.64099524
   -62.34229098,   -62.65574255
   -61.51703863,   -61.82842771
   -59.86853929,   -60.14980037
   -44.02922267,   -44.17230905
   -21.16690095,   -21.23115306
                                                  
