                                                  

       SCF,CCSD
   -67.27768089,   -67.77500521
   -67.36720961,   -67.83144353
   -67.26068579,   -67.71097229
   -67.34179091,   -67.85591920
   -67.08063481,   -67.51550077
   -67.13817251,   -67.57049751
   -66.91648142,   -67.39223984
   -66.57836954,   -66.98069477
   -65.61620622,   -65.98640832
   -64.17327601,   -64.51547222
   -62.20895290,   -62.52572988
   -61.38072241,   -61.69633125
   -59.72831696,   -60.01288234
   -43.95321721,   -44.09800871
   -21.13598284,   -21.20025818
                                                  
