                                                  

       SCF,CCSD
   -67.25370866,   -67.75068749
   -67.34225780,   -67.80702448
   -67.23585198,   -67.68677021
   -67.31689460,   -67.83165509
   -67.05671503,   -67.49210214
   -67.11327626,   -67.54612609
   -66.89339748,   -67.36911177
   -66.55484818,   -66.95776651
   -65.59420251,   -65.96511280
   -64.15257691,   -64.49565096
   -62.18901953,   -62.50688371
   -61.35888632,   -61.67542710
   -59.70845478,   -59.99421996
   -43.93137739,   -44.07729620
   -21.11741528,   -21.18248332
                                                  
