                                                  

       SCF,CCSD
   -67.47636619,   -67.96868234
   -67.56513610,   -68.02490627
   -67.45793006,   -67.90399747
   -67.53952251,   -68.04983068
   -67.27897262,   -67.70946804
   -67.33483126,   -67.76279642
   -67.11618930,   -67.58763165
   -66.77541930,   -67.17363599
   -65.81430354,   -66.18066093
   -64.37328780,   -64.71184980
   -62.41221223,   -62.72546534
   -61.58526527,   -61.89633066
   -59.93685902,   -60.21794537
   -44.06994651,   -44.21309637
   -21.17907371,   -21.24349902
                                                  
