                                                  

       SCF,CCSD
   -67.46130482,   -67.95432134
   -67.55016504,   -68.01068668
   -67.44289778,   -67.88962209
   -67.52458101,   -68.03550093
   -67.26386627,   -67.69510374
   -67.31999451,   -67.74868529
   -67.10080233,   -67.57294597
   -66.76029104,   -67.15919750
   -65.79847407,   -66.16548993
   -64.35623667,   -64.69544082
   -62.39326449,   -62.70716487
   -61.56402070,   -61.87591401
   -59.91513245,   -60.19689381
   -44.05980988,   -44.20328610
   -21.17861418,   -21.24295899
                                                  
