                                                  

       SCF,CCSD
   -67.25362240,   -67.75094911
   -67.34221430,   -67.80730412
   -67.23583762,   -67.68707313
   -67.31685981,   -67.83191365
   -67.05663714,   -67.49234151
   -67.11328586,   -67.54646614
   -66.89322457,   -67.36924755
   -66.55481366,   -66.95805169
   -65.59405587,   -65.96526838
   -64.15223127,   -64.49558659
   -62.18836503,   -62.50648401
   -61.35789159,   -61.67468371
   -59.70735422,   -59.99334754
   -43.93096452,   -44.07696209
   -21.11713847,   -21.18222069
                                                  
