r,ae,uc,crenbl,lanl2tz,mdfstu,mwbstu,ccECP
1.2,0.306313,0.310062,0.30500876,0.30952536,0.30945707,0.30067679,0.30634405
1.3,0.07158300000000001,0.074884,0.07224523,0.07660211,0.07497446,0.06817471,0.07240105
1.4,-0.069082,-0.066217,-0.06744758,-0.06304663,-0.065904,-0.07115445,-0.06803127
1.5,-0.147375,-0.144972,-0.14528656,-0.14094633,-0.14451542,-0.14854714,-0.14625123
1.6,-0.183955,-0.182004,-0.18168875,-0.1775374,-0.18142117,-0.18449701,-0.18283215
1.7,-0.193465,-0.191909,-0.19115812,-0.1872758,-0.19121797,-0.19354076,-0.19237186
1.8,-0.186355,-0.185114,-0.18406813,-0.1804949,-0.18433421,-0.1860657,-0.1852889
1.9,-0.169918,-0.16894,-0.16770269,-0.16445493,-0.16809011,-0.16935685,-0.1688912
2.0,-0.14915,-0.148396,-0.14705336,-0.14414695,-0.14749907,-0.14840309,-0.14817944
2.1,-0.127431,-0.126986,-0.12555845,-0.12304433,-0.12599958,-0.12663881,-0.12657503
