  
   Z,SCF,CCSD,MO_SCF,MO_CCSD,O_SCF,O_CCSD
  1.2,   -4120.693658,   -4122.272919,   -4046.255717,   -4047.487494,   -74.85920120,   -75.09173839
  1.3,   -4120.914015,   -4122.507649,   -4046.255717,   -4047.487494,   -74.85920120,   -75.09173839
  1.4,   -4121.043522,   -4122.648314,   -4046.255717,   -4047.487494,   -74.85920120,   -75.09173839
  1.5,   -4121.113931,   -4122.726607,   -4046.255717,   -4047.487494,   -74.85920120,   -75.09173839
  1.6,   -4121.144013,   -4122.763187,   -4046.255717,   -4047.487494,   -74.85920120,   -75.09173839
  1.7,   -4121.147045,   -4122.772697,   -4046.255717,   -4047.487494,   -74.85920120,   -75.09173839
  1.8,   -4121.132940,   -4122.765587,   -4046.255717,   -4047.487494,   -74.85920120,   -75.09173839
  1.9,   -4121.108959,   -4122.749150,   -4046.255717,   -4047.487494,   -74.85920120,   -75.09173839
  2.0,   -4121.080297,   -4122.728382,   -4046.255717,   -4047.487494,   -74.85920120,   -75.09173839
  2.1,   -4121.050508,   -4122.706663,   -4046.255717,   -4047.487494,   -74.85920120,   -75.09173839


                                                  
