  
   Z,SCF,CCSD,MO_SCF,MO_CCSD,O_SCF,O_CCSD
  1.2,   -4120.693658,   -4121.422859,   -4046.255717,   -4046.695980,   -74.85920120,   -75.03694110
  1.3,   -4120.914015,   -4121.658037,   -4046.255717,   -4046.695980,   -74.85920120,   -75.03694110
  1.4,   -4121.043522,   -4121.799138,   -4046.255717,   -4046.695980,   -74.85920120,   -75.03694110
  1.5,   -4121.113931,   -4121.877893,   -4046.255717,   -4046.695980,   -74.85920120,   -75.03694110
  1.6,   -4121.144013,   -4121.914925,   -4046.255717,   -4046.695980,   -74.85920120,   -75.03694110
  1.7,   -4121.147045,   -4121.924830,   -4046.255717,   -4046.695980,   -74.85920120,   -75.03694110
  1.8,   -4121.132940,   -4121.918035,   -4046.255717,   -4046.695980,   -74.85920120,   -75.03694110
  1.9,   -4121.108959,   -4121.901861,   -4046.255717,   -4046.695980,   -74.85920120,   -75.03694110
  2.0,   -4121.080297,   -4121.881317,   -4046.255717,   -4046.695980,   -74.85920120,   -75.03694110
  2.1,   -4121.050508,   -4121.859907,   -4046.255717,   -4046.695980,   -74.85920120,   -75.03694110
