 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -5.313074155379    -4046.469972464520 (   6 * )
    2     0.0865317822     -5.226542373233    -4046.383440682374 (   2 * )
    3     0.0865317889     -5.226542366518    -4046.383440675658 (   2 * )
    4     0.0865318023     -5.226542353097    -4046.383440662237 (   2 * )
    5     0.0869201827     -5.226153972723    -4046.383052281863 (   2 * )
    6     0.0869201858     -5.226153969657    -4046.383052278797 (   2 * )
    7     0.0869201919     -5.226153963528    -4046.383052272668 (   2 * )
    8     0.0869202011     -5.226153954329    -4046.383052263469 (   2 * )
    9     0.0872480591     -5.225826096347    -4046.382724405488 (   2 * )
   10     0.0872480612     -5.225826094187    -4046.382724403327 (   2 * )
   11     0.0872480656     -5.225826089866    -4046.382724399006 (   2 * )
   12     0.0872480720     -5.225826083384    -4046.382724392525 (   2 * )
   13     0.0872480807     -5.225826074737    -4046.382724383878 (   2 * )
   14     0.0873860561     -5.225688099305    -4046.382586408446 (   2 * )
   15     0.0873860579     -5.225688097489    -4046.382586406629 (   2 * )
   16     0.0873860616     -5.225688093854    -4046.382586402995 (   2 * )
   17     0.0873860670     -5.225688088399    -4046.382586397540 (   2 * )
   18     0.0873860743     -5.225688081122    -4046.382586390263 (   2 * )
   19     0.0873860834     -5.225688072024    -4046.382586381165 (   2 * )
   20     0.0993930895     -5.213681065936    -4046.370579375076 (   2 * )
   21     0.0993931065     -5.213681048899    -4046.370579358040 (   2 * )
   22     0.0993931150     -5.213681040377    -4046.370579349517 (   2 * )
   23     0.0999071121     -5.213167043295    -4046.370065352436 (   2 * )
   24     0.0999071139     -5.213167041545    -4046.370065350686 (   2 * )
   25     0.1007005570     -5.212373598451    -4046.369271907591 (   2 * )
   26     0.1079597121     -5.205114443314    -4046.362012752455 (   2 * )
   27     0.1079597451     -5.205114410338    -4046.362012719479 (   2 * )
   28     0.1079597671     -5.205114388306    -4046.362012697447 (   2 * )
   29     0.1079597781     -5.205114377276    -4046.362012686417 (   2 * )
   30     0.1083739429     -5.204700212565    -4046.361598521706 (   2 * )
   31     0.1091646086     -5.203909546773    -4046.360807855913 (   2 * )
   32     0.1091646156     -5.203909539834    -4046.360807848975 (   2 * )
