 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -4.659121504674    -4046.415006750512 (   1 * )
    2     0.0008933854     -4.658228119263    -4046.414113365101 (   1 * )
    3     0.0008939225     -4.658227582186    -4046.414112828025 (   2 * )
    4     0.0025648648     -4.656556639866    -4046.412441885705 (   1 * )
    5     0.0025649193     -4.656556585360    -4046.412441831199 (   2 * )
    6     0.0025650768     -4.656556427919    -4046.412441673758 (   2 * )
    7     0.0048697167     -4.654251788000    -4046.410137033839 (   2 * )
    8     0.0048698378     -4.654251666864    -4046.410136912702 (   2 * )
    9     0.0048699130     -4.654251591682    -4046.410136837521 (   2 * )
   10     0.0048699385     -4.654251566206    -4046.410136812045 (   1 * )
   11     0.0076874803     -4.651434024343    -4046.407319270181 (   2 * )
   12     0.0076878477     -4.651433657001    -4046.407318902839 (   2 * )
   13     0.0076881099     -4.651433394731    -4046.407318640570 (   2 * )
   14     0.0076882673     -4.651433237416    -4046.407318483255 (   2 * )
   15     0.0076883197     -4.651433184986    -4046.407318430825 (   1 * )
   16     0.0664576198     -4.592663884923    -4046.348549130762 (   1 * )
   17     0.0664576253     -4.592663879382    -4046.348549125221 (   2 * )
   18     0.0664576425     -4.592663862211    -4046.348549108050 (   2 * )
   19     0.0664576729     -4.592663831766    -4046.348549077605 (   2 * )
   20     0.0664577194     -4.592663785311    -4046.348549031150 (   2 * )
   21     0.0685028074     -4.590618697246    -4046.346503943084 (   1 * )
   22     0.0685479342     -4.590573570488    -4046.346458816327 (  11 * )
   23     0.0706504292     -4.588471075468    -4046.344356321307 (   2 * )
   24     0.0706504913     -4.588471013358    -4046.344356259197 (   2 * )
   25     0.0706505428     -4.588470961830    -4046.344356207668 (   2 * )
   26     0.0706505834     -4.588470921309    -4046.344356167147 (   2 * )
   27     0.0706506125     -4.588470892127    -4046.344356137966 (   2 * )
   28     0.0706506302     -4.588470874524    -4046.344356120363 (   2 * )
   29     0.0706506360     -4.588470868640    -4046.344356114479 (   1 * )
   30     0.0734733229     -4.585648181811    -4046.341533427650 (   1 * )
   31     0.0734738197     -4.585647684958    -4046.341532930796 (   2 * )
   32     0.0772362025     -4.581885302194    -4046.337770548033 (   2 * )
   33     0.0772364162     -4.581885088435    -4046.337770334274 (   2 * )
   34     0.0772365440     -4.581884960659    -4046.337770206497 (   2 * )
   35     0.0772365865     -4.581884918150    -4046.337770163988 (   1 * )
   36     0.0774551223     -4.581666382367    -4046.337551628206 (   1 * )
   37     0.0774551945     -4.581666310167    -4046.337551556006 (   2 * )
   38     0.0774554113     -4.581666093369    -4046.337551339208 (   2 * )
   39     0.0783079174     -4.580813587322    -4046.336698833160 (   2 * )
   40     0.0783080554     -4.580813449322    -4046.336698695161 (   2 * )
   41     0.0783081543     -4.580813350372    -4046.336698596210 (   2 * )
   42     0.0783082138     -4.580813290848    -4046.336698536687 (   2 * )
   43     0.0783082337     -4.580813270982    -4046.336698516820 (   1 * )
   44     0.0812973503     -4.577824154369    -4046.333709400208 (   2 * )
   45     0.0812976113     -4.577823893337    -4046.333709139175 (   2 * )
   46     0.0812976988     -4.577823805876    -4046.333709051715 (   1 * )
   47     0.0850152161     -4.574106288547    -4046.329991534386 (   1 * )
   48     0.0850153301     -4.574106174566    -4046.329991420405 (   2 * )
   49     0.0850156720     -4.574105832632    -4046.329991078471 (   2 * )
   50     0.0850162419     -4.574105262775    -4046.329990508614 (   2 * )
   51     0.0868617897     -4.572259714929    -4046.328144960768 (   1 * )
   52     0.0868618306     -4.572259674040    -4046.328144919878 (   2 * )
   53     0.0868619533     -4.572259551368    -4046.328144797206 (   2 * )
   54     0.0868621578     -4.572259346899    -4046.328144592738 (   2 * )
   55     0.0868624441     -4.572259060609    -4046.328144306448 (   2 * )
   56     0.0882947442     -4.570826760452    -4046.326712006291 (   1 * )
   57     0.0882947510     -4.570826753643    -4046.326711999482 (   2 * )
   58     0.0882947713     -4.570826733360    -4046.326711979199 (   2 * )
   59     0.0882948046     -4.570826700033    -4046.326711945871 (   2 * )
   60     0.0882948503     -4.570826654383    -4046.326711900222 (   2 * )
   61     0.0882949073     -4.570826597421    -4046.326711843260 (   2 * )
   62     0.1020690095     -4.557052495151    -4046.312937740989 (   1 * )
   63     0.1020690245     -4.557052480194    -4046.312937726032 (   2 * )
   64     0.1020690692     -4.557052435474    -4046.312937681313 (   2 * )
   65     0.1020691432     -4.557052361446    -4046.312937607285 (   2 * )
   66     0.1020692458     -4.557052258866    -4046.312937504705 (   2 * )
   67     0.1020693759     -4.557052128791    -4046.312937374630 (   2 * )
   68     0.1020695321     -4.557051972580    -4046.312937218418 (   2 * )
   69     0.1080314967     -4.551090007964    -4046.306975253802 (   2 * )
   70     0.1080318852     -4.551089619469    -4046.306974865307 (   2 * )
   71     0.1080321174     -4.551089387226    -4046.306974633064 (   2 * )
   72     0.1080321947     -4.551089309954    -4046.306974555793 (   1 * )
   73     0.1085354092     -4.550586095449    -4046.306471341287 (   2 * )
   74     0.1085355811     -4.550585923570    -4046.306471169409 (   2 * )
   75     0.1085356393     -4.550585865367    -4046.306471111206 (   1 * )
   76     0.1089888875     -4.550132617177    -4046.306017863016 (   2 * )
