 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000001     -7.896988502856    -4046.495441423852 (   7 * )
    2     0.0687133503     -7.828275152679    -4046.426728073676 (   5 * )
    3     0.1001309177     -7.796857585305    -4046.395310506301 (   5 * )
    4     0.1002860986     -7.796702404355    -4046.395155325351 (   5 * )
    5     0.1002861002     -7.796702402818    -4046.395155323814 (   2 * )
    6     0.1004465422     -7.796541960739    -4046.394994881735 (   7 * )
    7     0.1004465435     -7.796541959480    -4046.394994880477 (   2 * )
    8     0.1005673424     -7.796421160615    -4046.394874081611 (  11 * )
    9     0.1005906427     -7.796397860224    -4046.394850781220 (  13 * )
   10     0.1132765640     -7.783711938941    -4046.382164859937 (   1 * )
   11     0.1132765652     -7.783711937758    -4046.382164858754 (   2 * )
   12     0.1132765688     -7.783711934192    -4046.382164855188 (   2 * )
   13     0.1132765748     -7.783711928194    -4046.382164849191 (   2 * )
   14     0.1136232177     -7.783365285280    -4046.381818206276 (   2 * )
   15     0.1136232206     -7.783365282401    -4046.381818203397 (   3 * )
   16     0.1142852485     -7.782703254439    -4046.381156175436 (   2 * )
   17     0.1142852533     -7.782703249632    -4046.381156170629 (   1 * )
   18     0.1216561607     -7.775332342288    -4046.373785263285 (   1 * )
   19     0.1216561671     -7.775332335855    -4046.373785256852 (   2 * )
   20     0.1216561864     -7.775332316554    -4046.373785237550 (   2 * )
   21     0.1216562186     -7.775332284380    -4046.373785205376 (   2 * )
   22     0.1216562636     -7.775332239329    -4046.373785160325 (   2 * )
   23     0.1216606188     -7.775327884143    -4046.373780805139 (   1 * )
   24     0.1222511079     -7.774737395074    -4046.373190316070 (   2 * )
   25     0.1222511665     -7.774737336504    -4046.373190257500 (   1 * )
   26     0.1229293993     -7.774059103685    -4046.372512024681 (   2 * )
   27     0.1229294178     -7.774059085188    -4046.372512006184 (   2 * )
   28     0.1229294240     -7.774059079011    -4046.372512000008 (   1 * )
   29     0.1230528728     -7.773935630195    -4046.372388551192 (   1 * )
   30     0.1230528743     -7.773935628644    -4046.372388549640 (   2 * )
   31     0.1230528790     -7.773935624010    -4046.372388545007 (   2 * )
   32     0.1230528866     -7.773935616360    -4046.372388537357 (   2 * )
   33     0.1456033804     -7.751385122538    -4046.349838043535 (   2 * )
   34     0.1456034463     -7.751385056693    -4046.349837977689 (   2 * )
   35     0.1456034858     -7.751385017179    -4046.349837938175 (   2 * )
   36     0.1456034990     -7.751385004005    -4046.349837925002 (   1 * )
   37     0.1461248785     -7.750863624469    -4046.349316545466 (   2 * )
   38     0.1461249298     -7.750863573205    -4046.349316494201 (   2 * )
   39     0.1461249664     -7.750863536589    -4046.349316457586 (   2 * )
   40     0.1461249883     -7.750863514621    -4046.349316435617 (   2 * )
   41     0.1461249957     -7.750863507298    -4046.349316428295 (   1 * )
