 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -7.537834112043    -4046.191379880817 (   2 * )
    2     0.0023053355     -7.535528776592    -4046.189074545367 (   2 * )
    3     0.0071676965     -7.530666415528    -4046.184212184302 (   2 * )
    4     0.0158415726     -7.521992539457    -4046.175538308231 (   2 * )
    5     0.0266947190     -7.511139393062    -4046.164685161837 (   2 * )
    6     0.0339654455     -7.503868666517    -4046.157414435291 (   2 * )
    7     0.0374894533     -7.500344658755    -4046.153890427529 (   2 * )
    8     0.0462131037     -7.491621008348    -4046.145166777122 (   2 * )
    9     0.0472810948     -7.490553017220    -4046.144098785995 (   2 * )
   10     0.0504833211     -7.487350790966    -4046.140896559740 (   2 * )
   11     0.0519671345     -7.485866977500    -4046.139412746275 (   2 * )
   12     0.0569206693     -7.480913442787    -4046.134459211561 (   2 * )
   13     0.0588853662     -7.478948745878    -4046.132494514653 (   2 * )
   14     0.0625962009     -7.475237911181    -4046.128783679955 (   2 * )
   15     0.0630521889     -7.474781923175    -4046.128327691949 (   2 * )
   16     0.0634585058     -7.474375606281    -4046.127921375055 (   2 * )
   17     0.0658246689     -7.472009443188    -4046.125555211962 (   2 * )
   18     0.0669389484     -7.470895163692    -4046.124440932466 (   2 * )
   19     0.0677054625     -7.470128649510    -4046.123674418284 (   2 * )
   20     0.0683342797     -7.469499832334    -4046.123045601108 (   2 * )
   21     0.0694631515     -7.468370960562    -4046.121916729336 (   2 * )
   22     0.0712586141     -7.466575497899    -4046.120121266673 (   2 * )
   23     0.0716942445     -7.466139867558    -4046.119685636332 (   2 * )
   24     0.0719917712     -7.465842340809    -4046.119388109583 (   2 * )
   25     0.0741547328     -7.463679379203    -4046.117225147977 (   2 * )
   26     0.0741728634     -7.463661248607    -4046.117207017381 (   2 * )
   27     0.0768492296     -7.460984882457    -4046.114530651231 (   2 * )
   28     0.0769194099     -7.460914702121    -4046.114460470895 (   2 * )
   29     0.0773349684     -7.460499143670    -4046.114044912445 (   2 * )
   30     0.0774155876     -7.460418524463    -4046.113964293238 (   2 * )
   31     0.0787190067     -7.459115105347    -4046.112660874121 (   2 * )
   32     0.0800129015     -7.457821210551    -4046.111366979325 (   2 * )
   33     0.0802928572     -7.457541254890    -4046.111087023664 (   2 * )
   34     0.0810022624     -7.456831849610    -4046.110377618385 (   2 * )
   35     0.0833204178     -7.454513694213    -4046.108059462987 (   2 * )
   36     0.0835858440     -7.454248268052    -4046.107794036826 (   2 * )
   37     0.0852209207     -7.452613191298    -4046.106158960073 (   2 * )
   38     0.0856045095     -7.452229602524    -4046.105775371298 (   2 * )
   39     0.0878237893     -7.450010322760    -4046.103556091534 (   2 * )
   40     0.0891703265     -7.448663785549    -4046.102209554324 (   2 * )
   41     0.0898036729     -7.448030439143    -4046.101576207917 (   2 * )
   42     0.0914432430     -7.446390869034    -4046.099936637808 (   2 * )
   43     0.0917547309     -7.446079381134    -4046.099625149908 (   2 * )
   44     0.0920327429     -7.445801369190    -4046.099347137964 (   2 * )
   45     0.0949080432     -7.442926068887    -4046.096471837661 (   2 * )
   46     0.0949707492     -7.442863362866    -4046.096409131640 (   2 * )
   47     0.0967233517     -7.441110760382    -4046.094656529156 (   2 * )
   48     0.0974049610     -7.440429151063    -4046.093974919837 (   2 * )
   49     0.0975528880     -7.440281224085    -4046.093826992859 (   2 * )
   50     0.0980688837     -7.439765228330    -4046.093310997104 (   2 * )
   51     0.0984462275     -7.439387884557    -4046.092933653331 (   2 * )
   52     0.1031193182     -7.434714793844    -4046.088260562618 (   2 * )
   53     0.1043504037     -7.433483708363    -4046.087029477137 (   2 * )
   54     0.1062790918     -7.431555020284    -4046.085100789058 (   2 * )
   55     0.1070259243     -7.430808187699    -4046.084353956473 (   2 * )
   56     0.1074455258     -7.430388586199    -4046.083934354973 (   2 * )
   57     0.1085422008     -7.429291911263    -4046.082837680037 (   2 * )
   58     0.1090706032     -7.428763508836    -4046.082309277610 (   2 * )
   59     0.1094756354     -7.428358476595    -4046.081904245369 (   2 * )
   60     0.1124799198     -7.425354192208    -4046.078899960982 (   2 * )
   61     0.1168149855     -7.421019126523    -4046.074564895297 (   2 * )
   62     0.1169124316     -7.420921680436    -4046.074467449210 (   2 * )
   63     0.1177690216     -7.420065090461    -4046.073610859235 (   2 * )
   64     0.1211552952     -7.416678816797    -4046.070224585571 (   2 * )
   65     0.1237122459     -7.414121866165    -4046.067667634939 (   2 * )
   66     0.1241182261     -7.413715885896    -4046.067261654670 (   2 * )
   67     0.1243447950     -7.413489317049    -4046.067035085823 (   2 * )
   68     0.1247987387     -7.413035373317    -4046.066581142092 (   2 * )
   69     0.1249870759     -7.412847036181    -4046.066392804955 (   2 * )
   70     0.1280125385     -7.409821573514    -4046.063367342288 (   2 * )
   71     0.1302828742     -7.407551237820    -4046.061097006594 (   2 * )
   72     0.1319515893     -7.405882522700    -4046.059428291474 (   2 * )
   73     0.1326702466     -7.405163865467    -4046.058709634241 (   2 * )
   74     0.1337917148     -7.404042397223    -4046.057588165997 (   2 * )
   75     0.1340665443     -7.403767567710    -4046.057313336484 (   2 * )
   76     0.1347212701     -7.403112841961    -4046.056658610735 (   2 * )
   77     0.1410012412     -7.396832870858    -4046.050378639632 (   2 * )
   78     0.1432401163     -7.394593995787    -4046.048139764561 (   2 * )
   79     0.1441353900     -7.393698721994    -4046.047244490768 (   2 * )
   80     0.1458613699     -7.391972742116    -4046.045518510890 (   2 * )
   81     0.1510766790     -7.386757432994    -4046.040303201768 (   2 * )
   82     0.1545364129     -7.383297699094    -4046.036843467868 (   2 * )
   83     0.1557927407     -7.382041371310    -4046.035587140085 (   2 * )
   84     0.1560765320     -7.381757580088    -4046.035303348862 (   2 * )
   85     0.1601961873     -7.377637924758    -4046.031183693532 (   2 * )
   86     0.1657895569     -7.372044555130    -4046.025590323904 (   2 * )
   87     0.1673302156     -7.370503896440    -4046.024049665215 (   2 * )
   88     0.1697235430     -7.368110569083    -4046.021656337857 (   2 * )
   89     0.1727592550     -7.365074857023    -4046.018620625797 (   2 * )
   90     0.1748997391     -7.362934372979    -4046.016480141753 (   2 * )
   91     0.1787437090     -7.359090402994    -4046.012636171768 (   2 * )
   92     0.1791864472     -7.358647664828    -4046.012193433603 (   2 * )
   93     0.1820865068     -7.355747605281    -4046.009293374055 (   2 * )
   94     0.1883016797     -7.349532432333    -4046.003078201107 (   2 * )
   95     0.1902059793     -7.347628132728    -4046.001173901502 (   2 * )
   96     0.1902359433     -7.347598168775    -4046.001143937549 (   2 * )
   97     0.1908372974     -7.346996814633    -4046.000542583407 (   2 * )
   98     0.1943111229     -7.343522989115    -4045.997068757890 (   2 * )
   99     0.1978387914     -7.339995320594    -4045.993541089369 (   2 * )
  100     0.1984251449     -7.339408967151    -4045.992954735926 (   2 * )
  101     0.2024463682     -7.335387743796    -4045.988933512570 (   2 * )
  102     0.2037494109     -7.334084701181    -4045.987630469955 (   2 * )
  103     0.2094850487     -7.328349063311    -4045.981894832085 (   2 * )
  104     0.2112068983     -7.326627213785    -4045.980172982559 (   2 * )
  105     0.2211213240     -7.316712788081    -4045.970258556855 (   2 * )
  106     0.2213692130     -7.316464899085    -4045.970010667859 (   2 * )
  107     0.2229435596     -7.314890552456    -4045.968436321230 (   2 * )
  108     0.2249415678     -7.312892544195    -4045.966438312970 (   2 * )
  109     0.2261482513     -7.311685860793    -4045.965231629567 (   2 * )
  110     0.2291981625     -7.308635949496    -4045.962181718270 (   2 * )
  111     0.2294918928     -7.308342219209    -4045.961887987983 (   2 * )
  112     0.2317123859     -7.306121726168    -4045.959667494942 (   2 * )
  113     0.2356458947     -7.302188217344    -4045.955733986118 (   2 * )
  114     0.2385406682     -7.299293443816    -4045.952839212590 (   2 * )
  115     0.2422043811     -7.295629730929    -4045.949175499703 (   2 * )
  116     0.2495104809     -7.288323631128    -4045.941869399902 (   2 * )
  117     0.2520389555     -7.285795156559    -4045.939340925333 (   2 * )
  118     0.2543314595     -7.283502652568    -4045.937048421342 (   2 * )
  119     0.2549448980     -7.282889214043    -4045.936434982817 (   2 * )
  120     0.2595330093     -7.278301102791    -4045.931846871565 (   2 * )
  121     0.2679021172     -7.269931994827    -4045.923477763601 (   2 * )
  122     0.2913267489     -7.246507363146    -4045.900053131920 (   2 * )
  123     0.3128573056     -7.224976806444    -4045.878522575218 (   2 * )
  124     0.3145375783     -7.223296533724    -4045.876842302499 (   2 * )
  125     0.3276539866     -7.210180125417    -4045.863725894192 (   2 * )
  126     0.3434886270     -7.194345485006    -4045.847891253780 (   2 * )


 Total average:     -4046.0558952611
