 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -5.299236706099      -67.445431184348 (   6 * )
    2     0.0887696483     -5.210467057771      -67.356661536019 (   2 * )
    3     0.0887696501     -5.210467055984      -67.356661534232 (   2 * )
    4     0.0887696537     -5.210467052402      -67.356661530651 (   2 * )
    5     0.0890512781     -5.210185428036      -67.356379906285 (   4 * )
    6     0.0890512801     -5.210185426007      -67.356379904255 (   2 * )
    7     0.0890512825     -5.210185423570      -67.356379901818 (   2 * )
    8     0.0893051361     -5.209931570022      -67.356126048270 (   4 * )
    9     0.0893051375     -5.209931568636      -67.356126046884 (   2 * )
   10     0.0893051391     -5.209931566974      -67.356126045222 (   2 * )
   11     0.0893051413     -5.209931564757      -67.356126043005 (   2 * )
   12     0.0894493754     -5.209787330716      -67.355981808965 (   4 * )
   13     0.0894493765     -5.209787329561      -67.355981807809 (   2 * )
   14     0.0894493779     -5.209787328172      -67.355981806421 (   2 * )
   15     0.0894493798     -5.209787326319      -67.355981804568 (   2 * )
   16     0.0894493821     -5.209787324003      -67.355981802252 (   2 * )
   17     0.1023202340     -5.196916472077      -67.343110950326 (   2 * )
   18     0.1023202367     -5.196916469359      -67.343110947608 (   2 * )
   19     0.1023202381     -5.196916467998      -67.343110946247 (   2 * )
   20     0.1026360266     -5.196600679492      -67.342795157741 (   2 * )
   21     0.1026360281     -5.196600678035      -67.342795156283 (   2 * )
   22     0.1031551400     -5.196081566136      -67.342276044384 (   2 * )
   23     0.1107063601     -5.188530345975      -67.334724824224 (   2 * )
   24     0.1107063683     -5.188530337833      -67.334724816081 (   2 * )
   25     0.1107063737     -5.188530332402      -67.334724810651 (   2 * )
   26     0.1107063764     -5.188530329687      -67.334724807935 (   2 * )
   27     0.1108602818     -5.188376424267      -67.334570902516 (   2 * )
   28     0.1114258205     -5.187810885570      -67.334005363818 (   4 * )
   29     0.1116722623     -5.187564443809      -67.333758922057 (   2 * )
   30     0.1116722656     -5.187564440507      -67.333758918755 (   2 * )
   31     0.1116722672     -5.187564438864      -67.333758917113 (   2 * )
   32     0.1271308306     -5.172105875499      -67.318300353747 (   6 * )
   33     0.1271308320     -5.172105874067      -67.318300352316 (   4 * )
   34     0.1271308335     -5.172105872571      -67.318300350820 (   2 * )
   35     0.1277211204     -5.171515585715      -67.317710063964 (   8 * )
   36     0.1277211220     -5.171515584112      -67.317710062361 (   4 * )
   37     0.1277211233     -5.171515582755      -67.317710061004 (   2 * )
   38     0.1418968611     -5.157339845009      -67.303534323257 (   2 * )
   39     0.1418968628     -5.157339843290      -67.303534321539 (   2 * )
   40     0.1418968662     -5.157339839865      -67.303534318114 (   2 * )
   41     0.1441819720     -5.155054734067      -67.301249212316 (   2 * )
   42     0.1441819772     -5.155054728917      -67.301249207166 (   2 * )
   43     0.1478900054     -5.151346700677      -67.297541178926 (   4 * )
   44     0.1478900065     -5.151346699636      -67.297541177885 (   2 * )
   45     0.1478900077     -5.151346698386      -67.297541176635 (   2 * )
   46     0.1490566920     -5.150180014087      -67.296374492336 (   6 * )
   47     0.1494281605     -5.149808545652      -67.296003023901 (  10 * )
   48     0.1496199710     -5.149616735072      -67.295811213320 (   4 * )
   49     0.1496199721     -5.149616733986      -67.295811212235 (   2 * )
   50     0.1496199734     -5.149616732682      -67.295811210931 (   2 * )
   51     0.1502052883     -5.149031417851      -67.295225896100 (   2 * )
   52     0.1502052906     -5.149031415515      -67.295225893763 (   2 * )
   53     0.1524770356     -5.146759670537      -67.292954148786 (   2 * )
   54     0.1524770378     -5.146759668352      -67.292954146601 (   2 * )
   55     0.1524770421     -5.146759663967      -67.292954142216 (   2 * )
   56     0.1561483064     -5.143088399751      -67.289282878000 (   2 * )
   57     0.1561483093     -5.143088396845      -67.289282875094 (   2 * )
   58     0.1561483114     -5.143088394660      -67.289282872908 (   2 * )
   59     0.1561483133     -5.143088392835      -67.289282871083 (   4 * )
   60     0.1579378574     -5.141298848686      -67.287493326935 (   2 * )
   61     0.1579378591     -5.141298847020      -67.287493325269 (   2 * )
   62     0.1579378604     -5.141298845683      -67.287493323932 (   2 * )
   63     0.1579378620     -5.141298844120      -67.287493322369 (   6 * )
   64     0.1614041330     -5.137832573075      -67.284027051323 (   2 * )
   65     0.1614041413     -5.137832564820      -67.284027043069 (   2 * )
   66     0.1614041468     -5.137832559314      -67.284027037563 (   2 * )
   67     0.1614041495     -5.137832556559      -67.284027034807 (   2 * )
   68     0.1630164423     -5.136220263760      -67.282414742009 (   2 * )
   69     0.1630164483     -5.136220257806      -67.282414736054 (   2 * )
   70     0.1630164528     -5.136220253341      -67.282414731590 (   2 * )
   71     0.1630164557     -5.136220250364      -67.282414728612 (   2 * )
   72     0.1630164572     -5.136220248875      -67.282414727123 (   2 * )
   73     0.1736027136     -5.125633992510      -67.271828470758 (   2 * )
   74     0.1736027190     -5.125633987119      -67.271828465368 (   2 * )
   75     0.1736027298     -5.125633976339      -67.271828454588 (   2 * )
   76     0.1738168867     -5.125419819417      -67.271614297666 (   2 * )
   77     0.1738168897     -5.125419816440      -67.271614294688 (   2 * )
   78     0.1738168956     -5.125419810489      -67.271614288738 (   2 * )
   79     0.1738169045     -5.125419801567      -67.271614279816 (   2 * )
   80     0.1919065246     -5.107330181513      -67.253524659762 (   2 * )
   81     0.2123377039     -5.086899002180      -67.233093480429 (   2 * )
   82     0.2123377102     -5.086898995883      -67.233093474131 (   2 * )
   83     0.2125874923     -5.086649213853      -67.232843692101 (   2 * )
   84     0.2125874976     -5.086649208507      -67.232843686755 (   2 * )
   85     0.2125875003     -5.086649205833      -67.232843684082 (   2 * )
   86     0.2336028080     -5.065633898078      -67.211828376327 (   4 * )
   87     0.2336028102     -5.065633895874      -67.211828374122 (   2 * )
   88     0.2336028129     -5.065633893234      -67.211828371483 (   2 * )
   89     0.2339987473     -5.065237958791      -67.211432437040 (   4 * )
   90     0.2339987487     -5.065237957374      -67.211432435623 (   2 * )
   91     0.2339987504     -5.065237955669      -67.211432433918 (   2 * )
   92     0.2339987527     -5.065237953401      -67.211432431650 (   2 * )
   93     0.2856507017     -5.013586004443      -67.159780482692 (   2 * )
   94     0.2856507092     -5.013585996888      -67.159780475137 (   2 * )
   95     0.2856514578     -5.013585248301      -67.159779726550 (   2 * )
   96     0.3087818590     -4.990454847135      -67.136649325384 (   4 * )
   97     0.3092175787     -4.990019127418      -67.136213605666 (   6 * )


 Total average:       -67.2945437240
