 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -4.647417238682      -67.389282982217 (   1 * )
    2     0.0007142561     -4.646702982549      -67.388568726085 (   1 * )
    3     0.0007142727     -4.646702965973      -67.388568709509 (   2 * )
    4     0.0020756642     -4.645341574500      -67.387207318035 (   1 * )
    5     0.0020756659     -4.645341572767      -67.387207316303 (   2 * )
    6     0.0020756710     -4.645341567671      -67.387207311206 (   2 * )
    7     0.0039919400     -4.643425298644      -67.385291042180 (   2 * )
    8     0.0039919440     -4.643425294643      -67.385291038179 (   2 * )
    9     0.0039919468     -4.643425291918      -67.385291035454 (   3 * )
   10     0.0063773484     -4.641039890326      -67.382905633862 (   2 * )
   11     0.0063773604     -4.641039878278      -67.382905621814 (   2 * )
   12     0.0063773690     -4.641039869680      -67.382905613216 (   2 * )
   13     0.0063773742     -4.641039864525      -67.382905608060 (   2 * )
   14     0.0063773759     -4.641039862807      -67.382905606343 (   1 * )
   15     0.0679173143     -4.579499924359      -67.321365667894 (   2 * )
   16     0.0679173244     -4.579499914270      -67.321365657806 (   2 * )
   17     0.0679173317     -4.579499907023      -67.321365650559 (   2 * )
   18     0.0679173360     -4.579499902657      -67.321365646193 (   2 * )
   19     0.0679173375     -4.579499901198      -67.321365644734 (   1 * )
   20     0.0695682208     -4.577849017898      -67.319714761434 (   2 * )
   21     0.0695682274     -4.577849011255      -67.319714754790 (   2 * )
   22     0.0695682326     -4.577849006072      -67.319714749608 (   2 * )
   23     0.0695682363     -4.577849002362      -67.319714745898 (   2 * )
   24     0.0695682388     -4.577848999884      -67.319714743420 (   3 * )
   25     0.0709839114     -4.576433327320      -67.318299070856 (   1 * )
   26     0.0713056519     -4.576111586794      -67.317977330330 (   2 * )
   27     0.0713056580     -4.576111580663      -67.317977324199 (   2 * )
   28     0.0713056630     -4.576111575634      -67.317977319170 (   2 * )
   29     0.0713056670     -4.576111571711      -67.317977315247 (   2 * )
   30     0.0713056698     -4.576111568902      -67.317977312438 (   2 * )
   31     0.0713056717     -4.576111567026      -67.317977310562 (   3 * )
   32     0.0750145029     -4.572402735734      -67.314268479270 (   1 * )
   33     0.0750145287     -4.572402709939      -67.314268453475 (   2 * )
