 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -7.881731014100      -67.471163973494 (   7 * )
    2     0.0690480225     -7.812682991667      -67.402115951061 (   5 * )
    3     0.1024499296     -7.779281084569      -67.368714043963 (   5 * )
    4     0.1025565559     -7.779174458187      -67.368607417581 (   7 * )
    5     0.1026687714     -7.779062242764      -67.368495202158 (   9 * )
    6     0.1027587104     -7.778972303720      -67.368405263114 (  11 * )
    7     0.1027903366     -7.778940677506      -67.368373636900 (  13 * )
    8     0.1162703771     -7.765460637049      -67.354893596443 (   2 * )
    9     0.1162703796     -7.765460634518      -67.354893593912 (   2 * )
   10     0.1162703813     -7.765460632832      -67.354893592226 (   3 * )
   11     0.1164869374     -7.765244076754      -67.354677036148 (   3 * )
   12     0.1164869394     -7.765244074701      -67.354677034095 (   2 * )
   13     0.1169287040     -7.764802310086      -67.354235269480 (   1 * )
   14     0.1169287067     -7.764802307453      -67.354235266847 (   2 * )
   15     0.1244860582     -7.757244955957      -67.346677915351 (   1 * )
   16     0.1245487262     -7.757182287959      -67.346615247353 (   2 * )
   17     0.1245487626     -7.757182251559      -67.346615210953 (   2 * )
   18     0.1245487886     -7.757182225556      -67.346615184950 (   2 * )
   19     0.1245488042     -7.757182209952      -67.346615169346 (   2 * )
   20     0.1245488094     -7.757182204751      -67.346615164145 (   1 * )
   21     0.1248780933     -7.756852920776      -67.346285880170 (   1 * )
   22     0.1248781423     -7.756852871812      -67.346285831206 (   2 * )
   23     0.1253566937     -7.756374320388      -67.345807279782 (   1 * )
   24     0.1253566986     -7.756374315510      -67.345807274904 (   2 * )
   25     0.1253567133     -7.756374300859      -67.345807260253 (   2 * )
   26     0.1254717658     -7.756259248324      -67.345692207718 (   2 * )
   27     0.1254717749     -7.756259239228      -67.345692198622 (   2 * )
   28     0.1254717803     -7.756259233788      -67.345692193182 (   2 * )
   29     0.1254717821     -7.756259231977      -67.345692191371 (   1 * )
   30     0.1482209532     -7.733510060918      -67.322943020312 (   1 * )
   31     0.1482209639     -7.733510050272      -67.322943009666 (   2 * )
   32     0.1482209958     -7.733510018335      -67.322942977730 (   2 * )
   33     0.1482210490     -7.733509965100      -67.322942924494 (   2 * )
   34     0.1486095149     -7.733121499268      -67.322554458662 (   1 * )
   35     0.1486095208     -7.733121493367      -67.322554452761 (   2 * )
   36     0.1486095385     -7.733121475663      -67.322554435057 (   2 * )
   37     0.1486095680     -7.733121446156      -67.322554405550 (   2 * )
   38     0.1486096093     -7.733121404844      -67.322554364238 (   2 * )
   39     0.1488849113     -7.732846102862      -67.322279062256 (   1 * )
   40     0.1488849155     -7.732846098624      -67.322279058018 (   2 * )
   41     0.1488849282     -7.732846085909      -67.322279045303 (   2 * )
   42     0.1488849494     -7.732846064720      -67.322279024114 (   2 * )
   43     0.1488849791     -7.732846035055      -67.322278994449 (   2 * )
   44     0.1488850172     -7.732845996911      -67.322278956305 (   2 * )
   45     0.1532533435     -7.728477670635      -67.317910630029 (  13 * )
   46     0.1532777659     -7.728453248227      -67.317886207621 (   9 * )
   47     0.1532777674     -7.728453246769      -67.317886206163 (   2 * )
   48     0.1533814528     -7.728349561292      -67.317782520686 (  15 * )
   49     0.1614553384     -7.720275675771      -67.309708635165 (   2 * )
