 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -7.522745194321      -67.164253034053 (   2 * )
    2     0.0019831374     -7.520762056873      -67.162269896604 (   2 * )
    3     0.0060817765     -7.516663417842      -67.158171257574 (   2 * )
    4     0.0128330198     -7.509912174564      -67.151420014295 (   2 * )
    5     0.0274148939     -7.495330300466      -67.136838140197 (   2 * )
    6     0.0342634462     -7.488481748166      -67.129989587897 (   2 * )
    7     0.0376106032     -7.485134591091      -67.126642430823 (   2 * )
    8     0.0459181171     -7.476827077208      -67.118334916939 (   2 * )
    9     0.0470073751     -7.475737819236      -67.117245658967 (   2 * )
   10     0.0506579969     -7.472087197417      -67.113595037148 (   2 * )
   11     0.0524257010     -7.470319493314      -67.111827333045 (   2 * )
   12     0.0573060166     -7.465439177767      -67.106947017498 (   2 * )
   13     0.0601216119     -7.462623582454      -67.104131422185 (   2 * )
   14     0.0626659495     -7.460079244869      -67.101587084600 (   2 * )
   15     0.0632575954     -7.459487598925      -67.100995438657 (   2 * )
   16     0.0646254392     -7.458119755091      -67.099627594822 (   2 * )
   17     0.0660354444     -7.456709749904      -67.098217589635 (   2 * )
   18     0.0680677011     -7.454677493245      -67.096185332976 (   2 * )
   19     0.0680759550     -7.454669239284      -67.096177079015 (   2 * )
   20     0.0695738837     -7.453171310651      -67.094679150383 (   2 * )
   21     0.0696072137     -7.453137980621      -67.094645820353 (   2 * )
   22     0.0721803964     -7.450564797881      -67.092072637613 (   2 * )
   23     0.0722142442     -7.450530950154      -67.092038789886 (   2 * )
   24     0.0727638343     -7.449981359973      -67.091489199704 (   2 * )
   25     0.0732099377     -7.449535256572      -67.091043096303 (   2 * )
   26     0.0753631937     -7.447382000588      -67.088889840319 (   2 * )
   27     0.0777404600     -7.445004734334      -67.086512574066 (   2 * )
   28     0.0779246487     -7.444820545655      -67.086328385386 (   2 * )
   29     0.0783651479     -7.444380046403      -67.085887886134 (   2 * )
   30     0.0784876690     -7.444257525336      -67.085765365067 (   2 * )
   31     0.0796097944     -7.443135399889      -67.084643239620 (   2 * )
   32     0.0802788796     -7.442466314727      -67.083974154458 (   2 * )
   33     0.0803295379     -7.442415656391      -67.083923496122 (   2 * )
   34     0.0814282374     -7.441316956967      -67.082824796698 (   2 * )
   35     0.0845162603     -7.438228934038      -67.079736773769 (   2 * )
   36     0.0851199869     -7.437625207398      -67.079133047130 (   2 * )
   37     0.0860817654     -7.436663428968      -67.078171268699 (   2 * )
   38     0.0866021069     -7.436143087426      -67.077650927157 (   2 * )
   39     0.0887851391     -7.433960055231      -67.075467894962 (   2 * )
   40     0.0904300080     -7.432315186284      -67.073823026016 (   2 * )
   41     0.0909301771     -7.431815017231      -67.073322856962 (   2 * )
   42     0.0923319248     -7.430413269555      -67.071921109286 (   2 * )
   43     0.0925824491     -7.430162745218      -67.071670584949 (   2 * )
   44     0.0928969403     -7.429848253994      -67.071356093726 (   2 * )
   45     0.0950741856     -7.427671008729      -67.069178848460 (   2 * )
   46     0.0962319279     -7.426513266405      -67.068021106137 (   2 * )
   47     0.0968748087     -7.425870385639      -67.067378225371 (   2 * )
   48     0.0975613107     -7.425183883580      -67.066691723311 (   2 * )
   49     0.0983200150     -7.424425179361      -67.065933019093 (   2 * )
   50     0.0990711732     -7.423674021143      -67.065181860874 (   2 * )
   51     0.0991388050     -7.423606389273      -67.065114229005 (   2 * )
   52     0.1048177374     -7.417927456941      -67.059435296672 (   2 * )
   53     0.1051457807     -7.417599413587      -67.059107253318 (   2 * )
   54     0.1065799133     -7.416165280973      -67.057673120704 (   2 * )
   55     0.1074517937     -7.415293400576      -67.056801240307 (   2 * )
   56     0.1085523487     -7.414192845593      -67.055700685325 (   2 * )
   57     0.1096258527     -7.413119341581      -67.054627181312 (   2 * )
   58     0.1098601526     -7.412885041696      -67.054392881427 (   2 * )
   59     0.1111650757     -7.411580118575      -67.053087958306 (   2 * )
   60     0.1126400853     -7.410105109054      -67.051612948786 (   2 * )
   61     0.1170762431     -7.405668951209      -67.047176790940 (   2 * )
   62     0.1185084322     -7.404236762154      -67.045744601885 (   2 * )
   63     0.1189077968     -7.403837397534      -67.045345237266 (   2 * )
   64     0.1219847132     -7.400760481145      -67.042268320877 (   2 * )
   65     0.1249854262     -7.397759768159      -67.039267607891 (   2 * )
   66     0.1250068804     -7.397738313895      -67.039246153627 (   2 * )
   67     0.1252589401     -7.397486254181      -67.038994093912 (   2 * )
   68     0.1255907411     -7.397154453218      -67.038662292950 (   2 * )
   69     0.1261697261     -7.396575468183      -67.038083307915 (   2 * )
   70     0.1292028796     -7.393542314736      -67.035050154468 (   2 * )
   71     0.1308917598     -7.391853434510      -67.033361274241 (   2 * )
   72     0.1326162663     -7.390128927993      -67.031636767725 (   2 * )
   73     0.1333141899     -7.389431004463      -67.030938844194 (   2 * )
   74     0.1344329181     -7.388312276232      -67.029820115963 (   2 * )
   75     0.1356425453     -7.387102649004      -67.028610488735 (   2 * )
   76     0.1360710808     -7.386674113505      -67.028181953236 (   2 * )
   77     0.1422150656     -7.380530128749      -67.022037968480 (   2 * )
   78     0.1437370735     -7.379008120789      -67.020515960520 (   2 * )
   79     0.1458309003     -7.376914293983      -67.018422133714 (   2 * )
   80     0.1466102489     -7.376134945467      -67.017642785198 (   2 * )
   81     0.1524479516     -7.370297242763      -67.011805082494 (   2 * )
   82     0.1561688817     -7.366576312637      -67.008084152368 (   2 * )
   83     0.1578668124     -7.364878381916      -67.006386221647 (   2 * )
   84     0.1583215679     -7.364423626378      -67.005931466109 (   2 * )
   85     0.1620414769     -7.360703717464      -67.002211557196 (   2 * )
   86     0.1680789382     -7.354666256101      -66.996174095832 (   2 * )
   87     0.1683530424     -7.354392151888      -66.995899991619 (   2 * )
   88     0.1715424874     -7.351202706873      -66.992710546604 (   2 * )
   89     0.1718995989     -7.350845595394      -66.992353435125 (   2 * )
   90     0.1748377943     -7.347907399976      -66.989415239707 (   2 * )
   91     0.1803247860     -7.342420408325      -66.983928248056 (   2 * )
   92     0.1813165226     -7.341428671678      -66.982936511410 (   2 * )
