 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -5.299237052175      -67.445431363973 (   6 * )
    2     0.0887695180     -5.210467534162      -67.356661845961 (   6 * )
    3     0.0890512377     -5.210185814431      -67.356380126230 (   8 * )
    4     0.0893051646     -5.209931887537      -67.356126199336 (  10 * )
    5     0.0894494144     -5.209787637762      -67.355981949561 (  12 * )
    6     0.1023197592     -5.196917292998      -67.343111604797 (   6 * )
    7     0.1026356985     -5.196601353629      -67.342795665428 (   4 * )
    8     0.1031550247     -5.196082027483      -67.342276339282 (   2 * )
    9     0.1107063510     -5.188530701208      -67.334725013006 (   8 * )
   10     0.1108604321     -5.188376620027      -67.334570931825 (   2 * )
   11     0.1114261605     -5.187810891646      -67.334005203444 (   4 * )
   12     0.1116726491     -5.187564403042      -67.333758714841 (   6 * )
   13     0.1271307140     -5.172106338163      -67.318300649962 (  12 * )
   14     0.1277212050     -5.171515847180      -67.317710158979 (  14 * )
   15     0.1418960783     -5.157340973882      -67.303535285681 (   6 * )
   16     0.1441816547     -5.155055397454      -67.301249709252 (   4 * )
   17     0.1478899265     -5.151347125672      -67.297541437470 (   8 * )
   18     0.1490567120     -5.150180340136      -67.296374651935 (   6 * )
   19     0.1494280548     -5.149808997337      -67.296003309136 (  10 * )
   20     0.1496201391     -5.149616913117      -67.295811224916 (   8 * )
   21     0.1502057055     -5.149031346650      -67.295225658449 (   4 * )
   22     0.1524783157     -5.146758736467      -67.292953048266 (   6 * )
   23     0.1561480844     -5.143088967810      -67.289283279609 (  10 * )
   24     0.1579382065     -5.141298845663      -67.287493157462 (  12 * )
   25     0.1614042976     -5.137832754618      -67.284027066417 (   8 * )
   26     0.1630171040     -5.136219948136      -67.282414259935 (  10 * )
   27     0.1736028312     -5.125634221006      -67.271828532805 (   6 * )
   28     0.1738170758     -5.125419976336      -67.271614288135 (   8 * )
   29     0.1919065977     -5.107330454506      -67.253524766305 (   2 * )
   30     0.2123377847     -5.086899267523      -67.233093579321 (   4 * )
   31     0.2125876998     -5.086649352336      -67.232843664135 (   6 * )
   32     0.2336029109     -5.065634141315      -67.211828453114 (   8 * )
   33     0.2339988819     -5.065238170267      -67.211432482066 (  10 * )
   34     0.2856507151     -5.013586337091      -67.159780648890 (   4 * )
   35     0.2856515491     -5.013585503092      -67.159779814891 (   2 * )
   36     0.3087820055     -4.990455046680      -67.136649358479 (   4 * )
   37     0.3092177326     -4.990019319545      -67.136213631344 (   6 * )


 Total average:       -67.2945438276
