 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -4.647418284265      -67.389284012382 (   1 * )
    2     0.0007144285     -4.646703855785      -67.388569583902 (   2 * )
    3     0.0007144566     -4.646703827622      -67.388569555738 (   1 * )
    4     0.0020761385     -4.645342145793      -67.387207873909 (   2 * )
    5     0.0020761470     -4.645342137265      -67.387207865382 (   2 * )
    6     0.0020761498     -4.645342134430      -67.387207862547 (   1 * )
    7     0.0039928154     -4.643425468879      -67.385291196995 (   1 * )
    8     0.0039928167     -4.643425467560      -67.385291195676 (   2 * )
    9     0.0039928207     -4.643425463595      -67.385291191712 (   2 * )
   10     0.0039928273     -4.643425456962      -67.385291185078 (   2 * )
   11     0.0063786860     -4.641039598306      -67.382905326423 (   1 * )
   12     0.0063786888     -4.641039595480      -67.382905323597 (   2 * )
   13     0.0063786973     -4.641039587004      -67.382905315120 (   2 * )
   14     0.0063787114     -4.641039572880      -67.382905300997 (   2 * )
   15     0.0063787311     -4.641039553116      -67.382905281232 (   2 * )
   16     0.0679176253     -4.579500658967      -67.321366387083 (   3 * )
   17     0.0679176283     -4.579500655972      -67.321366384089 (   2 * )
   18     0.0679176328     -4.579500651479      -67.321366379596 (   2 * )
   19     0.0679176391     -4.579500645185      -67.321366373302 (   2 * )
   20     0.0695689469     -4.577849337381      -67.319715065498 (   3 * )
   21     0.0695689487     -4.577849335581      -67.319715063697 (   2 * )
   22     0.0695689514     -4.577849332880      -67.319715060996 (   2 * )
   23     0.0695689552     -4.577849329097      -67.319715057214 (   2 * )
   24     0.0695689600     -4.577849324232      -67.319715052348 (   2 * )
   25     0.0709832725     -4.576435011810      -67.318300739927 (   1 * )
   26     0.0713067502     -4.576111534036      -67.317977262153 (   3 * )
   27     0.0713067521     -4.576111532165      -67.317977260282 (   2 * )
   28     0.0713067549     -4.576111529358      -67.317977257474 (   2 * )
   29     0.0713067588     -4.576111525426      -67.317977253542 (   2 * )
   30     0.0713067639     -4.576111520367      -67.317977248484 (   2 * )
   31     0.0713067701     -4.576111514181      -67.317977242298 (   2 * )
   32     0.0750147974     -4.572403486837      -67.314269214953 (   2 * )
   33     0.0750148300     -4.572403454264      -67.314269182381 (   1 * )
   34     0.0788374163     -4.568580867923      -67.310446596040 (   2 * )
   35     0.0788374268     -4.568580857447      -67.310446585564 (   2 * )
   36     0.0788374303     -4.568580853950      -67.310446582067 (   1 * )
   37     0.0788447902     -4.568573494058      -67.310439222174 (   3 * )
   38     0.0788447925     -4.568573491764      -67.310439219880 (   2 * )
   39     0.0788447959     -4.568573488395      -67.310439216512 (   2 * )
   40     0.0796598550     -4.567758429231      -67.309624157348 (   5 * )
   41     0.0796598563     -4.567758427929      -67.309624156046 (   2 * )
   42     0.0796598576     -4.567758426625      -67.309624154741 (   2 * )
   43     0.0816314544     -4.565786829910      -67.307652558026 (   1 * )
   44     0.0816314611     -4.565786823146      -67.307652551263 (   2 * )
   45     0.0816314814     -4.565786802856      -67.307652530973 (   2 * )
   46     0.0862410667     -4.561177217598      -67.303042945714 (   2 * )
   47     0.0862410937     -4.561177190590      -67.303042918706 (   2 * )
   48     0.0862411099     -4.561177174390      -67.303042902506 (   2 * )
   49     0.0862411153     -4.561177168990      -67.303042897107 (   1 * )
   50     0.0879171131     -4.559501171153      -67.301366899269 (   2 * )
   51     0.0879171303     -4.559501153932      -67.301366882048 (   2 * )
   52     0.0879171426     -4.559501141632      -67.301366869749 (   2 * )
   53     0.0879171500     -4.559501134253      -67.301366862370 (   2 * )
   54     0.0879171525     -4.559501131794      -67.301366859910 (   1 * )
   55     0.0891463973     -4.558271887012      -67.300137615129 (   2 * )
   56     0.0891464060     -4.558271878216      -67.300137606332 (   2 * )
