 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -7.881731206790      -67.471164144010 (   7 * )
    2     0.0690479919     -7.812683214945      -67.402116152165 (   5 * )
    3     0.1024498436     -7.779281363238      -67.368714300458 (   5 * )
    4     0.1025565091     -7.779174697783      -67.368607635003 (   7 * )
    5     0.1026687638     -7.779062443074      -67.368495380294 (   9 * )
    6     0.1027587296     -7.778972477260      -67.368405414480 (  11 * )
    7     0.1027903535     -7.778940853307      -67.368373790527 (  13 * )
    8     0.1162699534     -7.765461253461      -67.354894190681 (   3 * )
    9     0.1162699561     -7.765461250699      -67.354894187919 (   2 * )
   10     0.1162699603     -7.765461246554      -67.354894183774 (   2 * )
   11     0.1164866106     -7.765244596196      -67.354677533416 (   2 * )
   12     0.1164866140     -7.765244592817      -67.354677530037 (   2 * )
   13     0.1164866151     -7.765244591691      -67.354677528911 (   1 * )
   14     0.1169285529     -7.764802653927      -67.354235591147 (   2 * )
   15     0.1169285576     -7.764802649200      -67.354235586420 (   1 * )
   16     0.1244860681     -7.757245138747      -67.346678075967 (   1 * )
   17     0.1245486900     -7.757182516820      -67.346615454040 (   1 * )
   18     0.1245486992     -7.757182507637      -67.346615444857 (   2 * )
   19     0.1245487267     -7.757182480086      -67.346615417306 (   2 * )
   20     0.1245487727     -7.757182434168      -67.346615371388 (   2 * )
   21     0.1245488370     -7.757182369879      -67.346615307099 (   2 * )
   22     0.1248782602     -7.756852946650      -67.346285883869 (   2 * )
   23     0.1248783467     -7.756852860152      -67.346285797372 (   1 * )
   24     0.1253570155     -7.756374191374      -67.345807128594 (   2 * )
   25     0.1253570412     -7.756374165668      -67.345807102888 (   2 * )
   26     0.1253570497     -7.756374157095      -67.345807094314 (   1 * )
   27     0.1254721090     -7.756259097838      -67.345692035057 (   1 * )
   28     0.1254721123     -7.756259094542      -67.345692031761 (   2 * )
   29     0.1254721222     -7.756259084669      -67.345692021888 (   2 * )
   30     0.1254721386     -7.756259068264      -67.345692005484 (   2 * )
   31     0.1482207275     -7.733510479309      -67.322943416529 (   2 * )
   32     0.1482208216     -7.733510385254      -67.322943322473 (   2 * )
   33     0.1482208780     -7.733510328826      -67.322943266046 (   2 * )
   34     0.1482208968     -7.733510310018      -67.322943247238 (   1 * )
   35     0.1486093989     -7.733121807955      -67.322554745175 (   2 * )
   36     0.1486094718     -7.733121734991      -67.322554672211 (   2 * )
   37     0.1486095240     -7.733121682881      -67.322554620101 (   2 * )
   38     0.1486095552     -7.733121651617      -67.322554588837 (   2 * )
   39     0.1486095656     -7.733121641196      -67.322554578416 (   1 * )
   40     0.1488848239     -7.732846382942      -67.322279320162 (   2 * )
   41     0.1488848914     -7.732846315486      -67.322279252706 (   2 * )
   42     0.1488849438     -7.732846263029      -67.322279200249 (   2 * )
   43     0.1488849813     -7.732846225564      -67.322279162784 (   2 * )
   44     0.1488850037     -7.732846203086      -67.322279140306 (   2 * )
   45     0.1488850112     -7.732846195594      -67.322279132814 (   1 * )
   46     0.1532533067     -7.728477900157      -67.317910837377 (  13 * )
   47     0.1532777208     -7.728453486050      -67.317886423270 (   2 * )
   48     0.1532777223     -7.728453484513      -67.317886421732 (   4 * )
   49     0.1532777236     -7.728453483215      -67.317886420435 (   5 * )
   50     0.1533814997     -7.728349707149      -67.317782644369 (  15 * )
   51     0.1614545456     -7.720276661223      -67.309709598443 (   1 * )
   52     0.1614545663     -7.720276640495      -67.309709577715 (   2 * )
   53     0.1614546285     -7.720276578295      -67.309709515515 (   2 * )
   54     0.1621033990     -7.719627807868      -67.309060745088 (   2 * )
   55     0.1621034138     -7.719627793073      -67.309060730293 (   1 * )
   56     0.1633692949     -7.718361911983      -67.307794849203 (   1 * )
   57     0.1636275694     -7.718103637431      -67.307536574651 (   2 * )
   58     0.1636276006     -7.718103606270      -67.307536543489 (   1 * )
   59     0.1637890656     -7.717942141197      -67.307375078417 (   1 * )
   60     0.1637890679     -7.717942138895      -67.307375076115 (   2 * )
   61     0.1637890748     -7.717942132034      -67.307375069254 (   2 * )
   62     0.1638577160     -7.717873490874      -67.307306428094 (   3 * )
   63     0.1638577183     -7.717873488512      -67.307306425732 (   2 * )
   64     0.1638577218     -7.717873484997      -67.307306422217 (   2 * )
   65     0.1642568520     -7.717474354853      -67.306907292072 (   2 * )
   66     0.1642568536     -7.717474353227      -67.306907290447 (   2 * )
   67     0.1642568552     -7.717474351611      -67.306907288831 (   5 * )
   68     0.1643640203     -7.717367186504      -67.306800123724 (   9 * )
   69     0.1643640217     -7.717367185153      -67.306800122373 (   2 * )
   70     0.1691491738     -7.712582033025      -67.302014970245 (   2 * )
   71     0.1691491914     -7.712582015396      -67.302014952616 (   2 * )
   72     0.1691492020     -7.712582004824      -67.302014942044 (   2 * )
   73     0.1691492055     -7.712582001301      -67.302014938521 (   1 * )
   74     0.1702729334     -7.711458273419      -67.300891210639 (   2 * )
   75     0.1702729693     -7.711458237548      -67.300891174768 (   2 * )
   76     0.1702729812     -7.711458225595      -67.300891162815 (   1 * )
   77     0.1706587242     -7.711072482611      -67.300505419831 (   1 * )
   78     0.1706587387     -7.711072468151      -67.300505405371 (   2 * )
   79     0.1706587821     -7.711072424767      -67.300505361987 (   2 * )
   80     0.1706588544     -7.711072352455      -67.300505289675 (   2 * )
   81     0.1708958512     -7.710835355657      -67.300268292877 (   1 * )
   82     0.1708958911     -7.710835315760      -67.300268252980 (   2 * )
   83     0.1715715136     -7.710159693199      -67.299592630419 (   1 * )
   84     0.1715715357     -7.710159671163      -67.299592608383 (   2 * )
   85     0.1715716018     -7.710159605056      -67.299592542276 (   2 * )
   86     0.1728692030     -7.708862003817      -67.298294941037 (   1 * )
   87     0.1728692054     -7.708862001452      -67.298294938672 (   2 * )
   88     0.1744631888     -7.707268018048      -67.296700955268 (   9 * )
   89     0.1758134121     -7.705917794778      -67.295350731998 (   2 * )
   90     0.1758134504     -7.705917756417      -67.295350693637 (   2 * )
   91     0.1758134818     -7.705917725022      -67.295350662242 (   2 * )
   92     0.1758135062     -7.705917700598      -67.295350637818 (   2 * )
   93     0.1758135237     -7.705917683150      -67.295350620370 (   2 * )
   94     0.1758135342     -7.705917672679      -67.295350609899 (   2 * )
   95     0.1758135376     -7.705917669189      -67.295350606409 (   1 * )
   96     0.1763801609     -7.705351045920      -67.294783983140 (   2 * )
   97     0.1763801648     -7.705351042020      -67.294783979240 (   2 * )
   98     0.1763801661     -7.705351040719      -67.294783977939 (   1 * )
   99     0.1772779326     -7.704453274244      -67.293886211464 (   2 * )
  100     0.1772779396     -7.704453267215      -67.293886204435 (   2 * )
  101     0.1772779438     -7.704453262997      -67.293886200217 (   2 * )
  102     0.1772779452     -7.704453261591      -67.293886198811 (   1 * )
  103     0.1831240638     -7.698607143048      -67.288040080268 (   1 * )
  104     0.1831240684     -7.698607138452      -67.288040075672 (   2 * )
  105     0.1831240822     -7.698607124666      -67.288040061886 (   2 * )
  106     0.1831241051     -7.698607101691      -67.288040038911 (   2 * )
  107     0.1831241373     -7.698607069531      -67.288040006751 (   2 * )
  108     0.1832774336     -7.698453773273      -67.287886710493 (   1 * )
  109     0.1832774366     -7.698453770198      -67.287886707418 (   2 * )
  110     0.1832774459     -7.698453760973      -67.287886698193 (   2 * )
  111     0.1832774612     -7.698453745600      -67.287886682820 (   2 * )
  112     0.1832774828     -7.698453724080      -67.287886661300 (   2 * )
  113     0.1832775104     -7.698453696417      -67.287886633637 (   2 * )
  114     0.1847811441     -7.696950062770      -67.286382999990 (   1 * )
  115     0.1847811455     -7.696950061287      -67.286382998507 (   2 * )
  116     0.1847811500     -7.696950056838      -67.286382994058 (   2 * )
  117     0.1847811574     -7.696950049424      -67.286382986644 (   2 * )
  118     0.1847811678     -7.696950039045      -67.286382976265 (   2 * )
  119     0.1847811811     -7.696950025702      -67.286382962922 (   2 * )
  120     0.1847811974     -7.696950009396      -67.286382946616 (   2 * )
  121     0.1876635138     -7.694067693083      -67.283500630303 (   1 * )
  122     0.1876635284     -7.694067678401      -67.283500615620 (   2 * )
  123     0.1876635725     -7.694067634353      -67.283500571573 (   2 * )
  124     0.1876636459     -7.694067560945      -67.283500498164 (   2 * )
  125     0.1884971211     -7.693234085772      -67.282667022992 (   1 * )
  126     0.1884971293     -7.693234077490      -67.282667014710 (   2 * )
  127     0.1884971542     -7.693234052645      -67.282666989865 (   2 * )
  128     0.1884971956     -7.693234011237      -67.282666948457 (   2 * )
  129     0.1884972536     -7.693233953269      -67.282666890489 (   2 * )
  130     0.1887193549     -7.693011851903      -67.282444789123 (   1 * )
  131     0.1887193605     -7.693011846297      -67.282444783517 (   2 * )
  132     0.1887193774     -7.693011829479      -67.282444766699 (   2 * )
  133     0.1887194054     -7.693011801449      -67.282444738669 (   2 * )
  134     0.1887194446     -7.693011762210      -67.282444699430 (   2 * )
  135     0.1887194951     -7.693011711766      -67.282444648985 (   2 * )
  136     0.1955733219     -7.686157884970      -67.275590822190 (   2 * )
  137     0.1955733350     -7.686157871852      -67.275590809072 (   2 * )
  138     0.1955733394     -7.686157867464      -67.275590804684 (   1 * )
  139     0.1977249054     -7.684006301484      -67.273439238704 (   2 * )
  140     0.1977249791     -7.684006227786      -67.273439165006 (   2 * )
  141     0.1977250233     -7.684006183575      -67.273439120795 (   2 * )
  142     0.1977250380     -7.684006168839      -67.273439106059 (   1 * )
  143     0.2001632901     -7.681567916723      -67.271000853943 (   2 * )
  144     0.2001633717     -7.681567835086      -67.271000772306 (   2 * )
  145     0.2001633990     -7.681567807873      -67.271000745093 (   1 * )
  146     0.2002516706     -7.681479536198      -67.270912473418 (   2 * )
  147     0.2002517331     -7.681479473698      -67.270912410918 (   2 * )
  148     0.2002517778     -7.681479429053      -67.270912366273 (   2 * )
  149     0.2002518046     -7.681479402265      -67.270912339485 (   2 * )
  150     0.2002518135     -7.681479393335      -67.270912330555 (   1 * )
  151     0.2009430998     -7.680788107000      -67.270221044220 (   2 * )
  152     0.2009431630     -7.680788043799      -67.270220981019 (   2 * )
  153     0.2009432010     -7.680788005884      -67.270220943104 (   2 * )
  154     0.2009432136     -7.680787993246      -67.270220930466 (   1 * )
  155     0.2071862488     -7.674544958076      -67.263977895296 (  11 * )
  156     0.2087519962     -7.672979210638      -67.262412147858 (   1 * )
  157     0.2087520035     -7.672979203353      -67.262412140573 (   2 * )
  158     0.2087520253     -7.672979181497      -67.262412118717 (   2 * )
  159     0.2087520618     -7.672979145065      -67.262412082285 (   2 * )
  160     0.2087521128     -7.672979094048      -67.262412031268 (   2 * )
  161     0.2100626190     -7.671668587832      -67.261101525052 (   2 * )
  162     0.2100626460     -7.671668560861      -67.261101498081 (   2 * )
  163     0.2100626622     -7.671668544672      -67.261101481892 (   2 * )
  164     0.2100626676     -7.671668539274      -67.261101476494 (   1 * )
  165     0.2104948938     -7.671236313006      -67.260669250226 (   2 * )
  166     0.2104949222     -7.671236284613      -67.260669221833 (   2 * )
  167     0.2104949317     -7.671236275129      -67.260669212349 (   1 * )
  168     0.2131808700     -7.668550336856      -67.257983274076 (   1 * )
  169     0.2131808767     -7.668550330149      -67.257983267369 (   2 * )
  170     0.2131808968     -7.668550310028      -67.257983247248 (   2 * )
  171     0.2131809304     -7.668550276484      -67.257983213704 (   2 * )
  172     0.2131809773     -7.668550229509      -67.257983166729 (   2 * )
  173     0.2190291000     -7.662702106850      -67.252135044070 (   3 * )
  174     0.2235456508     -7.658185556022      -67.247618493242 (   2 * )
  175     0.2235458296     -7.658185377243      -67.247618314463 (   2 * )
  176     0.2235459369     -7.658185269972      -67.247618207192 (   2 * )
  177     0.2235459726     -7.658185234215      -67.247618171435 (   1 * )
  178     0.2400230750     -7.641708131875      -67.231141069095 (   1 * )
  179     0.2400231268     -7.641708080024      -67.231141017244 (   2 * )
  180     0.2400584837     -7.641672723098      -67.231105660318 (   1 * )
  181     0.2400584957     -7.641672711089      -67.231105648309 (   2 * )
  182     0.2400585316     -7.641672675222      -67.231105612442 (   2 * )
  183     0.2402576170     -7.641473589870      -67.230906527090 (   1 * )
  184     0.2402576260     -7.641473580802      -67.230906518022 (   2 * )
  185     0.2402576532     -7.641473553600      -67.230906490820 (   2 * )
  186     0.2402576986     -7.641473508278      -67.230906445498 (   2 * )
  187     0.2420371515     -7.639694055363      -67.229126992583 (   1 * )
  188     0.2618327355     -7.619898471383      -67.209331408602 (   2 * )
  189     0.2618327697     -7.619898437099      -67.209331374319 (   2 * )
  190     0.2618327903     -7.619898416526      -67.209331353746 (   2 * )
  191     0.2618327972     -7.619898409667      -67.209331346887 (   1 * )
  192     0.2618496576     -7.619881549225      -67.209314486445 (   2 * )
  193     0.2618496830     -7.619881523826      -67.209314461046 (   2 * )
  194     0.2618497011     -7.619881505694      -67.209314442914 (   2 * )
  195     0.2618497120     -7.619881494818      -67.209314432038 (   2 * )
  196     0.2618497156     -7.619881491194      -67.209314428414 (   1 * )
  197     0.2618796364     -7.619851570443      -67.209284507663 (   2 * )
  198     0.2618796595     -7.619851547299      -67.209284484518 (   2 * )
  199     0.2618796775     -7.619851529301      -67.209284466521 (   2 * )
  200     0.2618796904     -7.619851516448      -67.209284453668 (   2 * )
  201     0.2618796981     -7.619851508737      -67.209284445957 (   2 * )
  202     0.2618797007     -7.619851506167      -67.209284443387 (   1 * )
  203     0.2630621628     -7.618669044018      -67.208101981238 (   1 * )
  204     0.2630621813     -7.618669025505      -67.208101962725 (   2 * )
  205     0.2630622369     -7.618668969961      -67.208101907181 (   2 * )
  206     0.2848573477     -7.596873859163      -67.186306796383 (   2 * )
  207     0.2848573645     -7.596873842306      -67.186306779526 (   2 * )
  208     0.2848573766     -7.596873830257      -67.186306767477 (   2 * )
  209     0.2848573838     -7.596873823025      -67.186306760244 (   2 * )
  210     0.2848573862     -7.596873820613      -67.186306757833 (   1 * )
  211     0.3147024062     -7.567028800664      -67.156461737884 (   1 * )
  212     0.3147024342     -7.567028772617      -67.156461709837 (   2 * )
  213     0.3147025189     -7.567028687933      -67.156461625153 (   2 * )
  214     0.3147418083     -7.566989398555      -67.156422335775 (   2 * )
  215     0.3147418889     -7.566989317945      -67.156422255165 (   1 * )
  216     0.3148193774     -7.566911829445      -67.156344766665 (   1 * )
  217     0.3363291365     -7.545402070376      -67.134835007596 (   2 * )
  218     0.3363291410     -7.545402065805      -67.134835003025 (   1 * )
  219     0.3386197216     -7.543111485254      -67.132544422474 (   2 * )
  220     0.3386197339     -7.543111472951      -67.132544410171 (   2 * )
  221     0.3386197380     -7.543111468865      -67.132544406085 (   1 * )
  222     0.3387376462     -7.542993560640      -67.132426497860 (   2 * )
  223     0.3387376627     -7.542993544185      -67.132426481405 (   2 * )
  224     0.3387376725     -7.542993534304      -67.132426471524 (   2 * )
  225     0.3387376758     -7.542993531009      -67.132426468229 (   1 * )
  226     0.3399163597     -7.541814847136      -67.131247784356 (   2 * )
  227     0.3399163716     -7.541814835277      -67.131247772497 (   1 * )
  228     0.3616394553     -7.520091751525      -67.109524688745 (   1 * )
  229     0.3616394843     -7.520091722561      -67.109524659781 (   2 * )
  230     0.3616395713     -7.520091635556      -67.109524572776 (   2 * )


 Total average:       -67.2882269033
