 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -7.038789885409      -66.691183361392 (   1 * )
    2     0.0007832463     -7.038006639066      -66.690400115050 (   3 * )
    3     0.0022694371     -7.036520448303      -66.688913924286 (   5 * )
    4     0.0043502400     -7.034439645452      -66.686833121436 (   7 * )
    5     0.0069266944     -7.031863191041      -66.684256667024 (   9 * )
    6     0.0727016209     -6.966088264544      -66.618481740527 (   9 * )
    7     0.0744955999     -6.964294285502      -66.616687761485 (  11 * )
    8     0.0758927809     -6.962897104521      -66.615290580504 (   1 * )
    9     0.0763666105     -6.962423274933      -66.614816750917 (  13 * )
   10     0.0803459953     -6.958443890085      -66.610837366068 (   3 * )
   11     0.0843633928     -6.954426492587      -66.606819968570 (   7 * )
   12     0.0844184339     -6.954371451554      -66.606764927537 (   5 * )
   13     0.0852340889     -6.953555796518      -66.605949272501 (   9 * )
   14     0.0875962569     -6.951193628477      -66.603587104461 (   5 * )
   15     0.0922779464     -6.946511939034      -66.598905415017 (   7 * )
   16     0.0940653700     -6.944724515421      -66.597117991404 (   9 * )
   17     0.0953479806     -6.943441904761      -66.595835380744 (  11 * )
   18     0.1109299788     -6.927859906657      -66.580253382640 (  13 * )
   19     0.1177235259     -6.921066359540      -66.573459835524 (   7 * )
   20     0.1181435663     -6.920646319101      -66.573039795084 (   9 * )
   21     0.1182077180     -6.920582167405      -66.572975643388 (   5 * )
   22     0.1189669254     -6.919822960048      -66.572216436032 (   3 * )
   23     0.1360969594     -6.902692925990      -66.555086401974 (   1 * )
   24     0.1441070703     -6.894682815078      -66.547076291062 (   5 * )
   25     0.1642395535     -6.874550331952      -66.526943807936 (   7 * )
   26     0.1927032690     -6.846086616456      -66.498480092439 (   5 * )
   27     0.1930676945     -6.845722190922      -66.498115666905 (   5 * )
   28     0.1930833390     -6.845706546377      -66.498100022360 (   9 * )
   29     0.1935916724     -6.845198213027      -66.497591689011 (   7 * )
   30     0.1973882786     -6.841401606777      -66.493795082761 (   3 * )
   31     0.1998252035     -6.838964681910      -66.491358157893 (   1 * )
   32     0.2185983443     -6.820191541139      -66.472585017122 (   9 * )
   33     0.2922557762     -6.746534109179      -66.398927585162 (   5 * )
   34     0.3781734934     -6.660616391977      -66.313009867961 (   1 * )


 Total average:       -66.5790247584
