                                                  

        SCF,CCSD
   -126.51220433,   -127.33823371
   -126.50349037,   -127.35812226
   -126.50625042,   -127.34825725
   -126.50640763,   -127.30295981
   -126.42910110,   -127.21738001
   -126.27293544,   -127.02529566
   -126.18397560,   -126.91076224
   -125.62792751,   -126.30928058
   -124.48125727,   -125.10102533
   -122.78439521,   -123.34820742
   -120.54352666,   -121.04401975
    -98.30330944,    -98.63120362
    -69.57458801,    -69.73806217
    -32.24868867,    -32.31901506
                                                  
