                                                  

        SCF,CCSD
   -125.95433467,   -126.78487559
   -125.94556919,   -126.80459539
   -125.94746967,   -126.79405155
   -125.94768728,   -126.74889809
   -125.87009766,   -126.66308502
   -125.71447947,   -126.47138362
   -125.62526108,   -126.35678304
   -125.06958776,   -125.75541213
   -123.92424883,   -124.54832453
   -122.23016761,   -122.79808924
   -119.99342057,   -120.49783394
    -97.79983960,    -98.13130923
    -69.24127232,    -69.40681814
    -32.09097583,    -32.16202652
                                                  
