                                                  

        SCF,CCSD
   -126.60913219,   -127.43423547
   -126.60045565,   -127.45440984
   -126.60544135,   -127.44616834
   -126.60559294,   -127.40079483
   -126.53051361,   -127.31710348
   -126.37265818,   -127.12369836
   -126.28593896,   -127.01106411
   -125.73132409,   -126.41122539
   -124.58857078,   -125.20696451
   -122.89536131,   -123.45804050
   -120.65771056,   -121.15732358
    -98.40128916,    -98.73019275
    -69.61190281,    -69.77658206
    -32.24372637,    -32.31516005
                                                  
