                                                  

        SCF,CCSD
   -127.03286381,   -127.85541186
   -127.02831275,   -127.86632556
   -127.02849813,   -127.82112109
   -126.95191215,   -127.73595083
   -126.79539484,   -127.54403058
   -126.70705120,   -127.42973600
   -126.15176667,   -126.82940653
   -125.00524860,   -125.62151107
   -123.30676492,   -123.86742105
   -121.06237518,   -121.56007480
    -98.74893659,    -99.07600692
    -69.84338500,    -70.00700172
    -32.36226261,    -32.43298256
                                                  
