                                                  

        SCF,CCSD
   -126.47662150,   -127.30391007
   -126.46781053,   -127.30952837
   -126.46839201,   -127.26545321
   -126.38719632,   -127.17560240
   -126.23799602,   -126.99154432
   -126.14466645,   -126.87208556
   -125.59393544,   -126.27645752
   -124.44849249,   -125.06939885
   -122.75302414,   -123.31794187
   -120.51348314,   -121.01504746
    -98.27639153,    -98.60470470
    -69.55474218,    -69.71831211
    -32.24230582,    -32.31235635
                                                  
