                                                  

        SCF,CCSD
   -126.49839482,   -127.33698674
   -126.49266657,   -127.34725767
   -126.49282883,   -127.30204504
   -126.41571125,   -127.21656875
   -126.25944985,   -127.02448604
   -126.17066264,   -126.91010797
   -125.61483613,   -126.30887438
   -124.46843352,   -125.10083679
   -122.77161926,   -123.34792444
   -120.53066795,   -121.04305594
    -98.27915315,    -98.61263011
    -69.55094769,    -69.71690210
    -32.23516422,    -32.30636257
                                                  
