                                                  

         SCF,CCSD
   -5042.840828,   -5043.627183
   -5042.837059,   -5043.636565
   -5042.837153,   -5043.591297
   -5042.760372,   -5043.504007
   -5042.604114,   -5043.314575
   -5042.500280,   -5043.197748
   -5041.960692,   -5042.598540
   -5040.815644,   -5041.390473
   -5039.120012,   -5039.637767
   -5036.876885,   -5037.331701
   -5014.631522,   -5014.917161
   -4985.781813,   -4985.922250
   -4948.277158,   -4948.338592
                                                  
