                                                  

     Z,SCF,CCSD
   0.000,   -5117.622067,   -5119.483725
   0.000,       0.000000,       0.000000
   0.000,       0.000000,       0.000000
   0.000,       0.000000,       0.000000
   0.000,       0.000000,       0.000000
   0.000,       0.000000,       0.000000
   0.000,       0.000000,       0.000000
   0.000,       0.000000,       0.000000
   0.000,       0.000000,       0.000000
   1.535,       0.000000,       0.000000
                                                  
