                                                  

        SCF,CCSD
   -126.60913350,   -127.36412226
   -126.60564268,   -127.37849151
   -126.60559392,   -127.33408779
   -126.53051451,   -127.25431291
   -126.37265920,   -127.05794675
   -126.28593973,   -126.94943757
   -125.73132466,   -126.35051271
   -124.58857097,   -125.15245623
   -122.89536136,   -123.41088562
   -120.65771067,   -121.11785412
    -98.40128941,    -98.72070834
    -69.61190314,    -69.77469821
    -32.24372667,    -32.31503674
                                                  
