                                                  

         SCF,CCSD
   -4937.920834,   -4938.576704
   -4937.891368,   -4938.616264
   -4937.893290,   -4938.579113
   -4937.782851,   -4938.462303
   -4937.675754,   -4938.322851
   -4937.549230,   -4938.172034
   -4937.018472,   -4937.600339
   -4935.854470,   -4936.381248
   -4934.135497,   -4934.613808
   -4931.865469,   -4932.231762
   -4909.436047,   -4909.720174
   -4880.801141,   -4880.946435
   -4843.591821,   -4843.659559
                                                  

         SCF,CCSD
   -5042.840829,   -5043.505124
   -5042.837259,   -5043.577248
   -5042.837154,   -5043.532983
   -5042.760373,   -5043.449579
   -5042.604115,   -5043.257257
   -5042.515463,   -5043.144763
   -5041.960693,   -5042.546272
   -5040.815644,   -5041.344307
   -5039.120012,   -5039.598686
   -5036.876885,   -5037.242679
   -5014.631522,   -5014.910051
   -4985.781813,   -4985.921190
   -4948.277158,   -4948.338538
                                                  

         SCF,CCSD
   -5042.840829,   -5043.565379
   -5042.837259,   -5043.577248
   -5042.837154,   -5043.532983
   -5042.760373,   -5043.449579
   -5042.604115,   -5043.257257
   -5042.500281,   -5043.144529
   -5041.960693,   -5042.546272
   -5040.815644,   -5041.344307
   -5039.120012,   -5039.598686
   -5036.876885,   -5037.299819
   -5014.631522,   -5014.910051
   -4985.781813,   -4985.921190
   -4948.277158,   -4948.338538
                                                  
