                                                  

        SCF,CCSD
   -126.51220770,   -127.26800577
   -126.50644852,   -127.28048130
   -126.50641046,   -127.23615624
   -126.42910352,   -127.15450037
   -126.27293834,   -126.95945772
   -126.18397809,   -126.84906199
   -125.62792967,   -126.24851130
   -124.48125868,   -125.04648294
   -122.78439609,   -123.30102800
   -120.54352725,   -121.00451778
    -98.30330958,    -98.62142486
    -69.57458845,    -69.73604246
    -32.24868874,    -32.31888307
                                                  
