                                                  

        SCF,CCSD
   -125.95433813,   -126.71446999
   -125.94766955,   -126.72608967
   -125.94769017,   -126.68191846
   -125.87010011,   -126.60002518
   -125.71448244,   -126.40538211
   -125.62526357,   -126.29491554
   -125.06958993,   -125.69448741
   -123.92425019,   -124.49362679
   -122.23016839,   -122.75074813
   -119.99342102,   -120.45816602
    -97.79983966,    -98.12144989
    -69.24127271,    -69.40474706
    -32.09097584,    -32.16188527
                                                  
