                                                  

        SCF,CCSD
   -126.47662378,   -127.23294915
   -126.46802791,   -127.24104922
   -126.46839385,   -127.19792464
   -126.38719782,   -127.11201535
   -126.23799793,   -126.92496801
   -126.14466813,   -126.80965773
   -125.59393677,   -126.21494648
   -124.44849330,   -125.01411883
   -122.75302466,   -123.27003765
   -120.51348358,   -120.97485748
    -98.27639167,    -98.59472447
    -69.55474230,    -69.71620176
    -32.24230583,    -32.31220724
                                                  
