                                                  

        SCF,CCSD
   -126.63390303,   -127.44923774
   -126.62803101,   -127.45889284
   -126.62833300,   -127.41383902
   -126.55080009,   -127.32802707
   -126.39615640,   -127.13764383
   -126.30675095,   -127.02249720
   -125.75311682,   -126.42371891
   -124.60836779,   -125.21775536
   -122.91309333,   -123.46713030
   -120.67359102,   -121.16514172
    -98.41822425,    -98.74429574
    -69.60705571,    -69.77117511
    -32.20235059,    -32.27502893
                                                  
