                                                  

        SCF,CCSD
   -126.60913219,   -127.36411989
   -126.60544135,   -127.37847377
   -126.60559294,   -127.33408511
   -126.53051361,   -127.25430945
   -126.37265818,   -127.05794469
   -126.28593896,   -126.94943513
   -125.73132409,   -126.35051134
   -124.58857078,   -125.15245559
   -122.89536132,   -123.41088537
   -120.65771056,   -121.11785394
    -98.40128916,    -98.72070807
    -69.61190281,    -69.77469786
    -32.24372637,    -32.31503643
                                                  

        SCF,CCSD
   -126.50544794,   -127.24699473
   -126.49093814,   -127.24858250
   -126.49199240,   -127.20658357
   -126.40378235,   -127.11435791
   -126.26528302,   -126.93786503
   -126.16392717,   -126.81468707
   -125.61921111,   -126.22650011
   -124.47121844,   -125.02385697
   -122.77293732,   -123.27780042
   -120.53101078,   -120.98125186
    -98.29397084,    -98.60732325
    -69.41752592,    -69.58033503
    -31.94160454,    -32.01905745
                                                  

        SCF,CCSD
   -126.29174809,   -127.05327587
   -126.27725015,   -127.05502320
   -126.27849674,   -127.01313392
   -126.19146519,   -126.92212324
   -126.05188053,   -126.74405688
   -125.95160168,   -126.62208304
   -125.40593839,   -126.03223142
   -124.25798085,   -124.82889323
   -122.55966558,   -123.08192183
   -120.31755973,   -120.78397944
    -98.07891196,    -98.39995870
    -69.22247653,    -69.39143188
    -31.72640567,    -31.81096161
                                                  

        SCF,CCSD
   -126.51700949,   -127.26849461
   -126.50229899,   -127.26961160
   -126.50341401,   -127.22771829
   -126.41494585,   -127.13511017
   -126.27707039,   -126.95934761
   -126.17534653,   -126.83559236
   -125.63113718,   -126.24782468
   -124.48317431,   -125.04485712
   -122.78482618,   -123.29832908
   -120.54279579,   -121.00112836
    -98.30350049,    -98.62132297
    -69.45412225,    -69.61895829
    -31.94269230,    -32.02161072
                                                  

        SCF,CCSD
   -126.54998388,   -127.29660682
   -126.53785851,   -127.30431437
   -126.53840556,   -127.26033015
   -126.45545722,   -127.17480145
   -126.30594189,   -126.98435777
   -126.21087959,   -126.86917733
   -125.65497875,   -126.26826132
   -124.50161050,   -125.06029864
   -122.79829731,   -123.30912155
   -120.55269958,   -121.00843974
    -98.34977872,    -98.66438336
    -69.48410062,    -69.64775110
    -31.96911915,    -32.04931150
                                                  
