                                                  

        SCF,CCSD
   -127.24740563,   -128.03219838
   -127.24249539,   -128.04535491
   -127.24250032,   -128.00077976
   -127.16498910,   -127.91837946
   -127.00918854,   -127.72439015
   -126.92004794,   -127.61285422
   -126.36527132,   -127.01388883
   -125.21924229,   -125.81173245
   -123.52245899,   -124.06540188
   -121.28145864,   -121.76689035
    -99.03293432,    -99.36000838
    -70.18779337,    -70.34982569
    -32.60740777,    -32.67610276
                                                  
