                                                  

        SCF,CCSD
   -126.63619364,   -127.38498389
   -126.63037764,   -127.39691309
   -126.63049408,   -127.35288001
   -126.55279000,   -127.27081191
   -126.39838649,   -127.07770148
   -126.30877452,   -126.96648579
   -125.75517923,   -126.36863013
   -124.61014498,   -125.16852965
   -122.91447061,   -123.42475431
   -120.67446838,   -121.12974707
    -98.41489990,    -98.73264975
    -69.60597173,    -69.76877265
    -32.19840255,    -32.27119532
                                                  
