                                                  

        SCF,CCSD
   -126.60913219,   -127.36411989
   -126.60544135,   -127.37847377
   -126.60559294,   -127.33408511
   -126.53051361,   -127.25430945
   -126.37265818,   -127.05794469
   -126.28593896,   -126.94943513
   -125.73132409,   -126.35051134
   -124.58857078,   -125.15245559
   -122.89536132,   -123.41088537
   -120.65771056,   -121.11785394
    -98.40128916,    -98.72070807
    -69.61190281,    -69.77469786
    -32.24372637,    -32.31503643
                                                  

        SCF,CCSD
   -126.50544794,   -127.24699473
   -126.49093814,   -127.24858250
   -126.49199240,   -127.20658357
   -126.40378235,   -127.11435791
   -126.26528302,   -126.93786503
   -126.16392717,   -126.81468707
   -125.61921111,   -126.22650011
   -124.47121844,   -125.02385697
   -122.77293732,   -123.27780042
   -120.53101078,   -120.98125186
    -98.29397084,    -98.60732325
    -69.41752592,    -69.58033503
    -31.94160454,    -32.01905745
                                                  
