                                                  

        SCF,CCSD
   -127.01441944,   -127.76713118
   -127.00941181,   -127.78080147
   -127.00957461,   -127.73600391
   -126.93322207,   -127.65558308
   -126.77607446,   -127.45896439
   -126.68804363,   -127.34933973
   -126.13188590,   -126.74846225
   -124.98549483,   -125.54657397
   -123.28834754,   -123.80090752
   -121.04714185,   -121.50433848
    -98.79984893,    -99.11839588
    -69.95516804,    -70.11810588
    -32.35148065,    -32.42614909
                                                  
