                                                  

        SCF,CCSD
   -126.32400252,   -127.07496639
   -126.31680362,   -127.08591593
   -126.31686341,   -127.04194555
   -126.23783165,   -126.95878446
   -126.08460225,   -126.76670736
   -125.99374652,   -126.65456764
   -125.44013213,   -126.05675146
   -124.29457626,   -124.85637443
   -122.59945685,   -123.11327920
   -120.36132894,   -120.82001547
    -98.14215852,    -98.46069089
    -69.42175384,    -69.58388448
    -32.15131857,    -32.22257842
                                                  

        SCF,CCSD
   -126.32298170,   -127.07393854
   -126.31577794,   -127.08488401
   -126.31583775,   -127.04091394
   -126.23680150,   -126.95774918
   -126.08357725,   -126.76567659
   -125.99271707,   -126.65353329
   -125.43910427,   -126.05571872
   -124.29354835,   -124.85534224
   -122.59843273,   -123.11225124
   -120.36031290,   -120.81899600
    -98.14128902,    -98.45981899
    -69.42115275,    -69.58328164
    -32.15106282,    -32.22232143
                                                  
