                                                  

        SCF,CCSD
   -126.51952518,   -127.27054181
   -126.51371624,   -127.28249555
   -126.51383390,   -127.23858372
   -126.43617707,   -127.15651858
   -126.28187669,   -126.96363433
   -126.19231199,   -126.85253285
   -125.63909574,   -126.25515437
   -124.49466026,   -125.05579234
   -122.79969076,   -123.31282038
   -120.56055571,   -121.01855872
    -98.30139279,    -98.61995078
    -69.49869550,    -69.66156414
    -32.15349255,    -32.22564088
                                                  
