
        SCF,CCSD
   -126.55318312,   -127.30611204
   -126.54313160,   -127.31238815
   -126.54394782,   -127.26972686
   -126.46101146,   -127.18220511
   -126.31560906,   -126.99898910
   -126.21996646,   -126.88123448
   -125.67274603,   -126.29027783
   -124.52681001,   -125.09055228
   -122.83304379,   -123.34714833
   -120.59354624,   -121.05236835
    -98.33681396,    -98.65471554
    -69.47331876,    -69.63754764
    -32.01980739,    -32.09572975
                                                  
