        SCF,CCSD
   -126.60913853,   -127.36330907
   -126.60359047,   -127.37556771
   -126.60386012,   -127.33158147
   -126.52650894,   -127.24963843
   -126.37150134,   -127.05623046
   -126.28229311,   -126.94530563
   -125.72838233,   -126.34722522
   -124.58332713,   -125.14702162
   -122.88743028,   -123.40287504
   -120.64682385,   -121.10696047
    -98.37551113,    -98.69506518
    -69.59127624,    -69.75407121
    -32.23229110,    -32.30357575
                                                  
