
     Z,SCF,CCSD
   1.679,   -126.5104233,   -127.2966639
   1.629,   -126.5108695,   -127.2995930
   1.579,   -126.5104200,   -127.3016926
   1.529,   -126.5088903,   -127.3027064
   1.479,   -126.5060475,   -127.3023211
   1.429,   -126.5015888,   -127.3001401
   1.379,   -126.4951134,   -127.2956794
   1.329,   -126.4860913,   -127.2883446
   1.279,   -126.4738290,   -127.2773911
   1.229,   -126.4574294,   -127.2618849
   1.179,   -126.4357384,   -127.2406351
                                                  
