
     Z,SCF,CCSD
   1.679,   -127.4642552,   -128.2451127
   1.629,   -127.4645874,   -128.2479853
   1.579,   -127.4640048,   -128.2500373
   1.529,   -127.4623244,   -128.2510107
   1.479,   -127.4593187,   -128.2505897
   1.429,   -127.4546939,   -128.2483830
   1.379,   -127.4480605,   -128.2439050
   1.329,   -127.4388997,   -128.2365612
   1.279,   -127.4265271,   -128.2256120
   1.229,   -127.4100534,   -128.2101262
   1.179,   -127.3883329,   -128.1889284
                                                  
