0: output to Pd.dmc.o
0: Timestep is 1.07770220588235
1912: Timestep is 1.07770220588235
273: Timestep is 1.07770220588235
1365: Timestep is 1.07770220588235
1088: Timestep is 1.07770220588235
836: Timestep is 1.07770220588235
1913: Timestep is 1.07770220588235
608: Timestep is 1.07770220588235
1366: Timestep is 1.07770220588235
1634: Timestep is 1.07770220588235
274: Timestep is 1.07770220588235
275: Timestep is 1.07770220588235
1367: Timestep is 1.07770220588235
837: Timestep is 1.07770220588235
1914: Timestep is 1.07770220588235
611: Timestep is 1.07770220588235
20: Timestep is 1.07770220588235
612: Timestep is 1.07770220588235
298: Timestep is 1.07770220588235
1385: Timestep is 1.07770220588235
839: Timestep is 1.07770220588235
1915: Timestep is 1.07770220588235
299: Timestep is 1.07770220588235
1386: Timestep is 1.07770220588235
21: Timestep is 1.07770220588235
840: Timestep is 1.07770220588235
1916: Timestep is 1.07770220588235
615: Timestep is 1.07770220588235
329: Timestep is 1.07770220588235
1389: Timestep is 1.07770220588235
56: Timestep is 1.07770220588235
843: Timestep is 1.07770220588235
1917: Timestep is 1.07770220588235
619: Timestep is 1.07770220588235
330: Timestep is 1.07770220588235
1390: Timestep is 1.07770220588235
852: Timestep is 1.07770220588235
1919: Timestep is 1.07770220588235
625: Timestep is 1.07770220588235
1391: Timestep is 1.07770220588235
853: Timestep is 1.07770220588235
1929: Timestep is 1.07770220588235
626: Timestep is 1.07770220588235
59: Timestep is 1.07770220588235
627: Timestep is 1.07770220588235
1089: Timestep is 1.07770220588235
331: Timestep is 1.07770220588235
1405: Timestep is 1.07770220588235
85: Timestep is 1.07770220588235
854: Timestep is 1.07770220588235
1931: Timestep is 1.07770220588235
639: Timestep is 1.07770220588235
1091: Timestep is 1.07770220588235
332: Timestep is 1.07770220588235
87: Timestep is 1.07770220588235
855: Timestep is 1.07770220588235
643: Timestep is 1.07770220588235
1092: Timestep is 1.07770220588235
866: Timestep is 1.07770220588235
664: Timestep is 1.07770220588235
1094: Timestep is 1.07770220588235
333: Timestep is 1.07770220588235
1413: Timestep is 1.07770220588235
1933: Timestep is 1.07770220588235
666: Timestep is 1.07770220588235
1114: Timestep is 1.07770220588235
1125: Timestep is 1.07770220588235
867: Timestep is 1.07770220588235
701: Timestep is 1.07770220588235
1127: Timestep is 1.07770220588235
1415: Timestep is 1.07770220588235
1935: Timestep is 1.07770220588235
1136: Timestep is 1.07770220588235
335: Timestep is 1.07770220588235
1434: Timestep is 1.07770220588235
872: Timestep is 1.07770220588235
1937: Timestep is 1.07770220588235
1637: Timestep is 1.07770220588235
1138: Timestep is 1.07770220588235
338: Timestep is 1.07770220588235
1639: Timestep is 1.07770220588235
1139: Timestep is 1.07770220588235
1650: Timestep is 1.07770220588235
1176: Timestep is 1.07770220588235
340: Timestep is 1.07770220588235
1441: Timestep is 1.07770220588235
1940: Timestep is 1.07770220588235
1651: Timestep is 1.07770220588235
1655: Timestep is 1.07770220588235
341: Timestep is 1.07770220588235
1443: Timestep is 1.07770220588235
1941: Timestep is 1.07770220588235
1894: Timestep is 1.07770220588235
1182: Timestep is 1.07770220588235
97: Timestep is 1.07770220588235
1943: Timestep is 1.07770220588235
702: Timestep is 1.07770220588235
1632: Timestep is 1.07770220588235
1192: Timestep is 1.07770220588235
