0: output to Pd.linear.o
Could not open Pd.linear.config. Generating configurations from scratch
544: Timestep is 0.509752
816: Timestep is 0.509752
1088: Timestep is 0.509752
1904: Timestep is 0.509752
1360: Timestep is 0.509752
272: Timestep is 0.509752
817: Timestep is 0.509752
1361: Timestep is 0.509752
1362: Timestep is 0.509752
0: Timestep is 0.509752
32: Timestep is 0.509752
1632: Timestep is 0.509752
545: Timestep is 0.509752
1089: Timestep is 0.509752
273: Timestep is 0.509752
546: Timestep is 0.509752
818: Timestep is 0.509752
1090: Timestep is 0.509752
274: Timestep is 0.509752
547: Timestep is 0.509752
819: Timestep is 0.509752
1091: Timestep is 0.509752
1363: Timestep is 0.509752
275: Timestep is 0.509752
548: Timestep is 0.509752
820: Timestep is 0.509752
1092: Timestep is 0.509752
1364: Timestep is 0.509752
278: Timestep is 0.509752
550: Timestep is 0.509752
821: Timestep is 0.509752
1093: Timestep is 0.509752
1365: Timestep is 0.509752
279: Timestep is 0.509752
551: Timestep is 0.509752
822: Timestep is 0.509752
1094: Timestep is 0.509752
1366: Timestep is 0.509752
823: Timestep is 0.509752
1367: Timestep is 0.509752
1368: Timestep is 0.509752
552: Timestep is 0.509752
1905: Timestep is 0.509752
553: Timestep is 0.509752
1906: Timestep is 0.509752
1095: Timestep is 0.509752
1907: Timestep is 0.509752
1909: Timestep is 0.509752
554: Timestep is 0.509752
1910: Timestep is 0.509752
280: Timestep is 0.509752
1096: Timestep is 0.509752
1912: Timestep is 0.509752
555: Timestep is 0.509752
282: Timestep is 0.509752
33: Timestep is 0.509752
825: Timestep is 0.509752
1097: Timestep is 0.509752
1369: Timestep is 0.509752
1913: Timestep is 0.509752
1633: Timestep is 0.509752
556: Timestep is 0.509752
283: Timestep is 0.509752
35: Timestep is 0.509752
827: Timestep is 0.509752
1098: Timestep is 0.509752
1370: Timestep is 0.509752
1914: Timestep is 0.509752
1634: Timestep is 0.509752
557: Timestep is 0.509752
284: Timestep is 0.509752
828: Timestep is 0.509752
1099: Timestep is 0.509752
1915: Timestep is 0.509752
1635: Timestep is 0.509752
285: Timestep is 0.509752
829: Timestep is 0.509752
1371: Timestep is 0.509752
1916: Timestep is 0.509752
1636: Timestep is 0.509752
286: Timestep is 0.509752
830: Timestep is 0.509752
1372: Timestep is 0.509752
1918: Timestep is 0.509752
1637: Timestep is 0.509752
1919: Timestep is 0.509752
1638: Timestep is 0.509752
831: Timestep is 0.509752
1373: Timestep is 0.509752
1920: Timestep is 0.509752
1640: Timestep is 0.509752
1374: Timestep is 0.509752
1641: Timestep is 0.509752
1375: Timestep is 0.509752
1642: Timestep is 0.509752
1643: Timestep is 0.509752
1100: Timestep is 0.509752
1644: Timestep is 0.509752
287: Timestep is 0.509752
1645: Timestep is 0.509752
1646: Timestep is 0.509752
558: Timestep is 0.509752
288: Timestep is 0.509752
36: Timestep is 0.509752
833: Timestep is 0.509752
1101: Timestep is 0.509752
1376: Timestep is 0.509752
1921: Timestep is 0.509752
1648: Timestep is 0.509752
559: Timestep is 0.509752
289: Timestep is 0.509752
38: Timestep is 0.509752
834: Timestep is 0.509752
1102: Timestep is 0.509752
1377: Timestep is 0.509752
1922: Timestep is 0.509752
1650: Timestep is 0.509752
290: Timestep is 0.509752
835: Timestep is 0.509752
1103: Timestep is 0.509752
1923: Timestep is 0.509752
1651: Timestep is 0.509752
291: Timestep is 0.509752
1104: Timestep is 0.509752
1378: Timestep is 0.509752
1652: Timestep is 0.509752
560: Timestep is 0.509752
292: Timestep is 0.509752
836: Timestep is 0.509752
1105: Timestep is 0.509752
1925: Timestep is 0.509752
1653: Timestep is 0.509752
561: Timestep is 0.509752
293: Timestep is 0.509752
837: Timestep is 0.509752
1106: Timestep is 0.509752
1379: Timestep is 0.509752
1926: Timestep is 0.509752
1654: Timestep is 0.509752
562: Timestep is 0.509752
839: Timestep is 0.509752
1927: Timestep is 0.509752
1380: Timestep is 0.509752
1381: Timestep is 0.509752
1107: Timestep is 0.509752
1655: Timestep is 0.509752
563: Timestep is 0.509752
294: Timestep is 0.509752
39: Timestep is 0.509752
840: Timestep is 0.509752
1108: Timestep is 0.509752
1928: Timestep is 0.509752
1656: Timestep is 0.509752
564: Timestep is 0.509752
295: Timestep is 0.509752
41: Timestep is 0.509752
841: Timestep is 0.509752
1382: Timestep is 0.509752
1929: Timestep is 0.509752
1657: Timestep is 0.509752
565: Timestep is 0.509752
296: Timestep is 0.509752
43: Timestep is 0.509752
842: Timestep is 0.509752
1109: Timestep is 0.509752
1931: Timestep is 0.509752
1658: Timestep is 0.509752
566: Timestep is 0.509752
297: Timestep is 0.509752
44: Timestep is 0.509752
843: Timestep is 0.509752
1110: Timestep is 0.509752
1383: Timestep is 0.509752
1659: Timestep is 0.509752
567: Timestep is 0.509752
298: Timestep is 0.509752
46: Timestep is 0.509752
844: Timestep is 0.509752
1111: Timestep is 0.509752
1384: Timestep is 0.509752
1932: Timestep is 0.509752
1660: Timestep is 0.509752
568: Timestep is 0.509752
299: Timestep is 0.509752
47: Timestep is 0.509752
845: Timestep is 0.509752
1113: Timestep is 0.509752
1385: Timestep is 0.509752
1933: Timestep is 0.509752
1661: Timestep is 0.509752
569: Timestep is 0.509752
300: Timestep is 0.509752
48: Timestep is 0.509752
846: Timestep is 0.509752
1114: Timestep is 0.509752
1386: Timestep is 0.509752
1934: Timestep is 0.509752
570: Timestep is 0.509752
301: Timestep is 0.509752
1116: Timestep is 0.509752
1387: Timestep is 0.509752
1935: Timestep is 0.509752
1662: Timestep is 0.509752
571: Timestep is 0.509752
1117: Timestep is 0.509752
1388: Timestep is 0.509752
572: Timestep is 0.509752
302: Timestep is 0.509752
1663: Timestep is 0.509752
573: Timestep is 0.509752
1118: Timestep is 0.509752
574: Timestep is 0.509752
847: Timestep is 0.509752
1936: Timestep is 0.509752
575: Timestep is 0.509752
303: Timestep is 0.509752
1664: Timestep is 0.509752
1119: Timestep is 0.509752
576: Timestep is 0.509752
848: Timestep is 0.509752
1938: Timestep is 0.509752
304: Timestep is 0.509752
49: Timestep is 0.509752
1665: Timestep is 0.509752
1120: Timestep is 0.509752
577: Timestep is 0.509752
306: Timestep is 0.509752
50: Timestep is 0.509752
850: Timestep is 0.509752
1389: Timestep is 0.509752
1939: Timestep is 0.509752
1666: Timestep is 0.509752
307: Timestep is 0.509752
51: Timestep is 0.509752
851: Timestep is 0.509752
1121: Timestep is 0.509752
1390: Timestep is 0.509752
52: Timestep is 0.509752
853: Timestep is 0.509752
1122: Timestep is 0.509752
1391: Timestep is 0.509752
1940: Timestep is 0.509752
1667: Timestep is 0.509752
53: Timestep is 0.509752
854: Timestep is 0.509752
1392: Timestep is 0.509752
1942: Timestep is 0.509752
578: Timestep is 0.509752
54: Timestep is 0.509752
855: Timestep is 0.509752
1943: Timestep is 0.509752
1393: Timestep is 0.509752
1944: Timestep is 0.509752
579: Timestep is 0.509752
308: Timestep is 0.509752
1123: Timestep is 0.509752
1946: Timestep is 0.509752
1668: Timestep is 0.509752
580: Timestep is 0.509752
1124: Timestep is 0.509752
1394: Timestep is 0.509752
581: Timestep is 0.509752
309: Timestep is 0.509752
1395: Timestep is 0.509752
1669: Timestep is 0.509752
582: Timestep is 0.509752
310: Timestep is 0.509752
857: Timestep is 0.509752
1125: Timestep is 0.509752
1670: Timestep is 0.509752
312: Timestep is 0.509752
1671: Timestep is 0.509752
55: Timestep is 0.509752
858: Timestep is 0.509752
1126: Timestep is 0.509752
1947: Timestep is 0.509752
313: Timestep is 0.509752
1672: Timestep is 0.509752
583: Timestep is 0.509752
56: Timestep is 0.509752
859: Timestep is 0.509752
1127: Timestep is 0.509752
1396: Timestep is 0.509752
1948: Timestep is 0.509752
584: Timestep is 0.509752
314: Timestep is 0.509752
58: Timestep is 0.509752
861: Timestep is 0.509752
1128: Timestep is 0.509752
1673: Timestep is 0.509752
585: Timestep is 0.509752
315: Timestep is 0.509752
59: Timestep is 0.509752
862: Timestep is 0.509752
1397: Timestep is 0.509752
1949: Timestep is 0.509752
1674: Timestep is 0.509752
586: Timestep is 0.509752
60: Timestep is 0.509752
863: Timestep is 0.509752
1398: Timestep is 0.509752
1950: Timestep is 0.509752
61: Timestep is 0.509752
864: Timestep is 0.509752
1399: Timestep is 0.509752
1951: Timestep is 0.509752
587: Timestep is 0.509752
1953: Timestep is 0.509752
316: Timestep is 0.509752
1129: Timestep is 0.509752
1400: Timestep is 0.509752
1954: Timestep is 0.509752
1675: Timestep is 0.509752
317: Timestep is 0.509752
1130: Timestep is 0.509752
1401: Timestep is 0.509752
1131: Timestep is 0.509752
1955: Timestep is 0.509752
1676: Timestep is 0.509752
318: Timestep is 0.509752
1402: Timestep is 0.509752
865: Timestep is 0.509752
1132: Timestep is 0.509752
1957: Timestep is 0.509752
1677: Timestep is 0.509752
588: Timestep is 0.509752
62: Timestep is 0.509752
319: Timestep is 0.509752
1678: Timestep is 0.509752
866: Timestep is 0.509752
1133: Timestep is 0.509752
589: Timestep is 0.509752
1679: Timestep is 0.509752
590: Timestep is 0.509752
321: Timestep is 0.509752
63: Timestep is 0.509752
867: Timestep is 0.509752
1134: Timestep is 0.509752
1403: Timestep is 0.509752
1958: Timestep is 0.509752
1681: Timestep is 0.509752
591: Timestep is 0.509752
322: Timestep is 0.509752
64: Timestep is 0.509752
868: Timestep is 0.509752
1135: Timestep is 0.509752
1404: Timestep is 0.509752
1959: Timestep is 0.509752
1682: Timestep is 0.509752
592: Timestep is 0.509752
324: Timestep is 0.509752
65: Timestep is 0.509752
