                                                  

          SCF,CCSD
   -18413.16835,   -18416.28258
   -18413.18386,   -18416.35993
   -18413.15389,   -18416.27043
   -18413.13496,   -18416.26456
   -18412.88663,   -18415.95151
   -18412.87783,   -18415.92467
   -18412.26678,   -18415.26400
   -18411.19323,   -18414.13437
   -18409.62540,   -18412.51710
   -18408.44582,   -18411.31308
   -18407.56942,   -18410.40499
   -18390.70372,   -18393.50131
   -18387.55996,   -18390.24110
   -18360.64292,   -18363.16138
   -18325.90584,   -18328.30437
                                                  
