                                                  

        SCF,CCSD
   -118.83557910,   -119.52557640
   -118.88592237,   -119.62330662
   -118.86980101,   -119.54496617
   -118.85809653,   -119.53569266
   -118.58595270,   -119.21219748
   -118.58058718,   -119.18852229
   -117.96629516,   -118.52517595
   -116.89326758,   -117.39671673
   -115.32622370,   -115.78107316
   -113.27340111,   -113.67212298
    -93.22362460,    -93.48448996
    -66.25793797,    -66.38244053
    -31.36087216,    -31.41153917
   -114.15282710,   -114.67663234
    -96.37388451,    -96.76900103
                                                  
