                                                  

        SCF,CCSD
   -118.27487641,   -118.97907328
   -118.33680066,   -119.08920406
   -118.31831537,   -119.00699677
   -118.31756324,   -119.00802467
   -118.02922059,   -118.66878061
   -118.03636259,   -118.65653452
   -117.41616710,   -117.98668103
   -116.35245616,   -116.86623346
   -114.79713772,   -115.26107246
   -112.75786958,   -113.16436796
    -92.79331044,    -93.05808859
    -66.07500919,    -66.19982340
    -31.40747247,    -31.45640150
   -113.65468260,   -114.22025620
    -96.00114193,    -96.40104300
                                                  
