                                                  

        SCF,CCSD
   -118.47604080,   -119.16220846
   -118.52423068,   -119.25724234
   -118.50866090,   -119.17995373
   -118.49509006,   -119.16856590
   -118.22692871,   -118.84930199
   -118.21930318,   -118.82337075
   -117.60857315,   -118.16362847
   -116.53760844,   -117.03718575
   -114.97345737,   -115.42442374
   -112.92467708,   -113.31949949
    -92.90734994,    -93.16667277
    -66.02284158,    -66.14687546
    -31.23968472,    -31.29084653
   -113.81637222,   -114.24411183
    -96.08527361,    -96.47161084
                                                  
